,Time,Open,High,Low,Close,Volume,Date
0,1483315200,77.8,77.8,76.35,76.95,2296460,2017-01-02
1,1483401600,77.1,77.4,75.8,76.55,1259423,2017-01-03
2,1483488000,77.0,78.8,76.8,77.8,2179592,2017-01-04
3,1483574400,78.5,79.6,78.2,79.15,2308694,2017-01-05
4,1483660800,79.2,79.9,78.4,78.65,1160629,2017-01-06
5,1483920000,78.55,79.55,78.25,78.75,846284,2017-01-09
6,1484006400,78.55,81.2,78.5,80.2,3196502,2017-01-10
7,1484092800,80.55,81.6,80.15,80.85,1502221,2017-01-11
8,1484179200,80.6,81.25,79.05,80.15,1553335,2017-01-12
9,1484265600,80.05,80.5,77.55,78.5,1854287,2017-01-13
10,1484524800,78.4,80.4,77.6,79.8,1503222,2017-01-16
11,1484611200,79.9,80.25,78.6,78.95,891846,2017-01-17
12,1484697600,79.1,80.7,78.4,79.2,1599586,2017-01-18
13,1484784000,79.5,81.0,78.8,80.6,1285140,2017-01-19
14,1484870400,80.95,82.0,77.0,77.5,2985011,2017-01-20
15,1485129600,77.4,79.0,77.0,78.2,884490,2017-01-23
16,1485216000,78.3,80.25,78.3,79.65,1527674,2017-01-24
17,1485302400,79.85,80.35,78.8,80.0,1701611,2017-01-25
18,1485475200,80.1,93.75,80.1,92.6,25002553,2017-01-27
19,1485734400,91.9,93.9,90.7,92.35,9616013,2017-01-30
20,1485820800,92.0,93.45,85.55,87.15,10535197,2017-01-31
21,1485907200,88.0,91.3,87.2,90.85,6995463,2017-02-01
22,1485993600,90.4,97.65,89.3,93.95,13368036,2017-02-02
23,1486080000,94.45,95.35,92.45,94.55,4592647,2017-02-03
24,1486339200,95.1,100.2,94.65,97.2,7629554,2017-02-06
25,1486425600,97.9,97.9,90.75,91.85,7549222,2017-02-07
26,1486512000,92.45,95.1,91.0,92.1,6130858,2017-02-08
27,1486598400,92.5,94.4,90.55,93.65,3656581,2017-02-09
28,1486684800,94.0,94.95,92.4,92.85,3194365,2017-02-10
29,1486944000,93.55,93.65,90.0,91.7,2133187,2017-02-13
30,1487030400,91.9,92.1,89.3,90.75,3326446,2017-02-14
31,1487116800,91.5,96.75,91.25,92.25,11656510,2017-02-15
32,1487203200,92.7,94.5,91.0,94.3,3447121,2017-02-16
33,1487289600,94.9,95.35,93.4,93.8,1838828,2017-02-17
34,1487548800,94.0,99.75,93.65,97.4,8798985,2017-02-20
35,1487635200,97.9,99.2,96.85,97.45,3633716,2017-02-21
36,1487721600,97.6,98.3,94.05,94.55,4687483,2017-02-22
37,1487808000,94.5,97.7,93.9,96.6,5958620,2017-02-23
38,1488153600,96.8,97.7,94.6,96.05,2478463,2017-02-27
39,1488240000,96.0,100.75,95.1,98.5,8148197,2017-02-28
40,1488326400,99.0,99.55,97.15,98.0,2397830,2017-03-01
41,1488412800,98.35,99.9,93.05,93.6,3923833,2017-03-02
42,1488499200,93.2,95.3,92.95,94.7,3920942,2017-03-03
43,1488758400,95.05,95.85,94.05,95.4,2240085,2017-03-06
44,1488844800,95.65,99.4,95.2,97.85,5164512,2017-03-07
45,1488931200,98.0,99.05,93.95,94.65,3198694,2017-03-08
46,1489017600,94.35,94.85,92.8,93.6,2253696,2017-03-09
47,1489104000,94.0,95.5,92.75,94.05,2176686,2017-03-10
48,1489449600,97.05,99.0,95.75,97.55,5071245,2017-03-14
49,1489536000,97.65,101.8,96.55,101.2,9540896,2017-03-15
50,1489622400,102.45,103.95,101.8,102.75,7119866,2017-03-16
51,1489708800,103.5,105.4,102.2,103.7,6463490,2017-03-17
52,1489968000,103.6,104.8,101.85,103.3,2192937,2017-03-20
53,1490054400,103.2,104.4,101.5,103.6,2632837,2017-03-21
54,1490140800,102.4,103.7,101.5,101.75,2174100,2017-03-22
55,1490227200,101.9,105.25,101.65,104.55,4346658,2017-03-23
56,1490313600,105.2,107.0,104.35,105.75,5178267,2017-03-24
57,1490572800,105.9,105.9,102.8,103.85,3408128,2017-03-27
58,1490659200,105.0,105.85,103.85,104.55,2590526,2017-03-28
59,1490745600,104.95,105.25,103.7,104.45,1897100,2017-03-29
60,1490832000,104.65,106.5,104.15,105.8,7405888,2017-03-30
61,1490918400,106.35,110.2,105.2,108.55,6986469,2017-03-31
62,1491177600,108.85,112.3,107.95,111.8,4741739,2017-04-03
63,1491350400,112.0,115.45,110.75,114.6,4340487,2017-04-05
64,1491436800,114.2,116.15,113.85,115.75,3258878,2017-04-06
65,1491523200,114.5,119.55,114.3,117.4,5580242,2017-04-07
66,1491782400,117.95,120.65,117.3,120.1,4859156,2017-04-10
67,1491868800,119.85,125.5,118.55,121.3,11436293,2017-04-11
68,1491955200,118.5,119.5,109.8,114.35,9171249,2017-04-12
69,1492041600,114.9,117.5,112.15,116.85,5018338,2017-04-13
70,1492387200,115.05,124.2,115.05,123.35,5952208,2017-04-17
71,1492473600,124.0,160.7,124.0,144.9,92715070,2017-04-18
72,1492560000,142.9,148.5,138.05,145.15,23662260,2017-04-19
73,1492646400,145.8,149.4,143.5,146.25,8478294,2017-04-20
74,1492732800,146.5,148.5,143.7,145.95,5457294,2017-04-21
75,1492992000,145.9,159.15,145.0,150.05,17018361,2017-04-24
76,1493078400,150.6,153.65,148.3,149.95,7988542,2017-04-25
77,1493164800,150.2,151.55,117.2,118.55,44780598,2017-04-26
78,1493251200,121.7,135.35,112.7,114.15,78120754,2017-04-27
79,1493337600,116.8,118.7,107.3,108.95,39309185,2017-04-28
80,1493683200,109.85,116.3,106.55,112.75,31196578,2017-05-02
81,1493769600,113.85,115.9,109.8,112.65,17853028,2017-05-03
82,1493856000,112.95,114.65,112.05,113.4,9225795,2017-05-04
83,1493942400,113.6,115.4,108.45,113.7,12155635,2017-05-05
84,1494201600,114.1,116.0,111.55,114.55,8351327,2017-05-08
85,1494288000,114.9,119.9,113.7,118.2,12659485,2017-05-09
86,1494374400,119.45,123.85,118.5,122.8,12398019,2017-05-10
87,1494460800,125.45,126.8,117.4,120.15,23149912,2017-05-11
88,1494547200,120.6,122.85,117.2,121.55,10909470,2017-05-12
89,1494806400,122.5,123.2,120.0,121.9,7090402,2017-05-15
90,1494892800,121.95,124.5,120.8,122.8,6895666,2017-05-16
91,1494979200,122.5,122.85,119.55,121.5,5817867,2017-05-17
92,1495065600,119.9,125.85,118.6,120.35,10312432,2017-05-18
93,1495152000,123.2,124.45,120.15,121.9,6205020,2017-05-19
94,1495411200,122.55,124.35,120.6,121.35,5788097,2017-05-22
95,1495497600,118.5,118.6,109.5,113.15,12969389,2017-05-23
96,1495584000,114.1,115.4,110.6,113.6,6385463,2017-05-24
97,1495670400,119.0,119.4,114.45,116.25,9523315,2017-05-25
98,1495756800,117.0,117.8,115.0,115.95,4170952,2017-05-26
99,1496016000,115.95,116.0,110.05,111.4,4816508,2017-05-29
100,1496102400,112.0,124.8,110.0,117.9,20862798,2017-05-30
101,1496188800,118.3,120.7,115.05,116.8,8292327,2017-05-31
102,1496275200,117.2,118.7,116.25,116.75,5578850,2017-06-01
103,1496361600,117.2,118.75,116.5,117.5,4227409,2017-06-02
104,1496620800,117.5,119.7,116.5,117.5,4628391,2017-06-05
105,1496707200,119.1,128.8,119.1,128.05,37683895,2017-06-06
106,1496793600,130.75,134.5,129.1,131.3,24487190,2017-06-07
107,1496880000,131.0,131.6,126.75,129.8,8299688,2017-06-08
108,1496966400,130.0,133.2,127.05,132.25,9200926,2017-06-09
109,1497225600,131.5,133.2,128.0,130.75,5195277,2017-06-12
110,1497312000,129.0,135.8,129.0,132.4,12237856,2017-06-13
111,1497398400,132.8,133.7,130.4,131.25,4219965,2017-06-14
112,1497484800,131.0,133.95,129.0,132.5,5069151,2017-06-15
113,1497571200,132.45,133.4,130.3,130.9,4333378,2017-06-16
114,1497830400,132.25,133.35,131.3,131.95,3366146,2017-06-19
115,1497916800,132.4,132.4,129.3,130.9,3600676,2017-06-20
116,1498003200,130.8,132.9,130.3,131.85,4123135,2017-06-21
117,1498089600,132.5,133.2,130.0,130.85,3971698,2017-06-22
118,1498176000,130.9,131.1,124.15,126.35,5913258,2017-06-23
119,1498521600,126.9,132.9,124.5,131.0,5961133,2017-06-27
120,1498608000,132.3,136.7,132.1,134.4,14293742,2017-06-28
121,1498694400,135.0,135.6,132.6,133.25,4347591,2017-06-29
122,1498780800,133.0,134.3,130.55,132.6,4288794,2017-06-30
123,1499040000,132.4,138.95,132.0,136.5,9590074,2017-07-03
124,1499126400,136.5,137.45,132.9,133.55,3729846,2017-07-04
125,1499212800,134.0,136.0,132.5,135.25,4430195,2017-07-05
126,1499299200,135.0,136.1,133.85,135.2,3032861,2017-07-06
127,1499385600,134.45,136.0,133.5,134.2,1890872,2017-07-07
128,1499644800,138.9,138.9,131.2,134.85,619714,2017-07-10
129,1499731200,135.0,135.45,132.8,133.4,2459729,2017-07-11
130,1499817600,133.7,141.85,133.0,141.3,15422906,2017-07-12
131,1499904000,142.5,144.35,138.15,140.8,10926196,2017-07-13
132,1499990400,141.0,141.45,137.7,139.4,4692142,2017-07-14
133,1500249600,139.5,140.8,138.4,139.4,2426468,2017-07-17
134,1500336000,138.95,140.35,137.1,137.85,2732576,2017-07-18
135,1500422400,138.0,140.65,137.5,139.5,2985094,2017-07-19
136,1500508800,140.0,142.0,138.5,140.4,3904565,2017-07-20
137,1500595200,140.85,141.8,137.85,141.2,3543548,2017-07-21
138,1500854400,141.4,142.7,139.2,140.25,3416472,2017-07-24
139,1500940800,140.95,140.95,138.3,139.3,2869545,2017-07-25
140,1501027200,139.5,142.3,138.9,140.75,3418321,2017-07-26
141,1501113600,140.75,141.85,137.5,138.5,4166061,2017-07-27
142,1501200000,138.1,139.35,136.45,138.7,1810929,2017-07-28
143,1501459200,138.7,139.75,137.05,137.9,1735603,2017-07-31
144,1501545600,137.9,140.85,137.9,140.2,2635910,2017-08-01
145,1501632000,140.7,143.85,140.55,141.95,4380118,2017-08-02
146,1501718400,142.1,142.65,137.1,137.75,2488880,2017-08-03
147,1501804800,137.6,139.25,136.2,138.0,2306461,2017-08-04
148,1502064000,138.45,140.9,138.0,140.1,2242614,2017-08-07
149,1502150400,140.15,141.2,135.4,137.35,2862404,2017-08-08
150,1502236800,137.0,137.0,120.65,124.25,5431633,2017-08-09
151,1502323200,122.5,123.25,113.25,115.85,5134939,2017-08-10
152,1502409600,114.0,115.8,106.0,113.7,5174105,2017-08-11
153,1502668800,115.0,117.9,111.8,116.65,2885275,2017-08-14
154,1502841600,114.0,116.45,109.05,115.2,6940295,2017-08-16
155,1502928000,115.5,117.5,112.3,113.4,3746529,2017-08-17
156,1503014400,112.25,113.5,110.55,112.25,3078656,2017-08-18
157,1503273600,113.0,113.85,106.75,107.5,2773290,2017-08-21
158,1503360000,108.55,109.35,104.8,106.3,4036450,2017-08-22
159,1503446400,107.45,110.5,107.0,110.05,4677977,2017-08-23
160,1503532800,110.7,110.9,108.1,109.15,4390164,2017-08-24
161,1503878400,117.1,121.05,115.05,119.2,16245306,2017-08-28
162,1503964800,117.4,122.75,116.75,118.95,9812669,2017-08-29
163,1504051200,120.4,131.85,120.15,128.15,16432031,2017-08-30
164,1504137600,133.0,133.95,128.05,132.55,23717123,2017-08-31
165,1504224000,132.75,138.85,131.35,136.6,17807316,2017-09-01
166,1504483200,136.2,136.45,128.0,130.8,10003075,2017-09-04
167,1504569600,131.4,135.1,130.8,133.1,6456212,2017-09-05
168,1504656000,130.1,132.1,128.5,130.8,6965729,2017-09-06
169,1504742400,131.45,133.25,129.65,130.4,4234036,2017-09-07
170,1504828800,130.9,131.8,126.35,127.6,3798565,2017-09-08
171,1505088000,128.5,132.35,128.2,130.65,3788024,2017-09-11
172,1505174400,131.8,134.9,130.4,133.95,5724435,2017-09-12
173,1505260800,133.9,134.5,130.3,130.75,3109588,2017-09-13
174,1505347200,131.0,133.3,129.65,131.9,3516832,2017-09-14
175,1505433600,130.05,131.75,129.2,130.65,3939948,2017-09-15
176,1505692800,131.65,132.9,130.1,130.85,2676220,2017-09-18
177,1505779200,130.95,132.2,130.1,131.0,2326183,2017-09-19
178,1505865600,131.75,131.75,129.1,129.4,2458718,2017-09-20
179,1505952000,129.4,130.95,124.9,127.7,3041970,2017-09-21
180,1506038400,126.85,126.85,121.0,121.75,2761762,2017-09-22
181,1506297600,121.9,122.05,113.75,116.65,3651981,2017-09-25
182,1506384000,116.6,120.2,114.8,118.6,4273887,2017-09-26
183,1506470400,119.5,120.8,113.15,114.25,3698588,2017-09-27
184,1506556800,114.8,116.75,113.4,115.3,3251061,2017-09-28
185,1506643200,116.0,117.7,115.45,116.3,2668774,2017-09-29
186,1506988800,116.55,116.6,110.35,111.8,5786682,2017-10-03
187,1507075200,112.2,115.95,111.9,115.3,6485757,2017-10-04
188,1507161600,116.6,123.2,116.1,121.6,10839785,2017-10-05
189,1507248000,122.9,125.0,121.75,123.45,6023990,2017-10-06
190,1507507200,120.0,121.95,117.1,119.3,7515146,2017-10-09
191,1507593600,119.5,122.0,119.5,120.25,3765307,2017-10-10
192,1507680000,121.15,123.4,117.6,118.95,4263901,2017-10-11
193,1507766400,120.0,120.8,118.5,120.1,2146531,2017-10-12
194,1507852800,120.8,121.15,119.5,119.85,1922554,2017-10-13
195,1508112000,120.65,120.95,116.5,117.4,2672505,2017-10-16
196,1508198400,117.85,118.95,117.05,118.1,1646672,2017-10-17
197,1508284800,118.0,123.55,116.85,122.6,5756535,2017-10-18
198,1508371200,123.25,127.0,122.35,125.6,2677513,2017-10-19
199,1508716800,126.4,129.8,125.2,126.95,4877150,2017-10-23
200,1508803200,127.0,128.35,125.4,126.3,2510874,2017-10-24
201,1508889600,126.85,129.2,124.05,127.7,3208639,2017-10-25
202,1508976000,127.5,131.75,126.15,131.0,4101271,2017-10-26
203,1509062400,131.9,132.9,128.5,129.95,3390969,2017-10-27
204,1509321600,130.65,136.4,129.1,134.2,5432720,2017-10-30
205,1509408000,134.7,134.7,130.05,132.3,2930305,2017-10-31
206,1509494400,132.8,135.3,132.1,133.1,2233742,2017-11-01
207,1509580800,133.3,135.6,131.85,133.35,2230547,2017-11-02
208,1509667200,134.0,142.7,132.9,140.5,6569012,2017-11-03
209,1509926400,143.2,151.45,142.65,149.7,12584319,2017-11-06
210,1510012800,149.75,152.3,141.2,148.35,7356189,2017-11-07
211,1510099200,148.05,158.4,146.4,151.5,13716214,2017-11-08
212,1510185600,151.85,155.9,149.1,154.4,4923828,2017-11-09
213,1510272000,154.35,158.25,151.8,156.4,5725960,2017-11-10
214,1510531200,157.1,160.2,150.85,152.8,5822879,2017-11-13
215,1510617600,152.0,158.4,151.5,155.35,6292563,2017-11-14
216,1510704000,154.8,155.8,146.1,147.05,4240874,2017-11-15
217,1510790400,145.0,146.0,139.6,144.75,5535897,2017-11-16
218,1510876800,146.5,158.75,146.2,156.6,8535047,2017-11-17
219,1511136000,156.95,162.0,156.05,160.4,8674469,2017-11-20
220,1511222400,161.0,161.7,152.2,153.45,5386978,2017-11-21
221,1511308800,154.3,159.2,152.55,157.8,4955519,2017-11-22
222,1511395200,158.0,158.45,149.7,152.5,4727002,2017-11-23
223,1511481600,152.6,155.4,150.0,153.25,3761880,2017-11-24
224,1511740800,150.0,152.2,146.85,151.25,4600982,2017-11-27
225,1511827200,151.2,152.7,147.55,148.85,2824828,2017-11-28
226,1511913600,148.85,149.45,146.0,147.45,2648352,2017-11-29
227,1512000000,146.5,149.5,145.1,146.6,2702060,2017-11-30
0,1512086400,147.0,151.35,140.05,142.35,5272779,2017-12-01
1,1512345600,142.8,145.8,131.75,142.6,6970705,2017-12-04
2,1512432000,142.65,146.8,139.55,145.75,4720284,2017-12-05
3,1512518400,143.7,147.4,141.3,142.25,3852721,2017-12-06
4,1512604800,142.7,148.95,142.1,147.55,3346587,2017-12-07
5,1512691200,149.2,152.55,148.6,151.05,5248995,2017-12-08
6,1512950400,152.4,154.25,149.7,153.3,4547863,2017-12-11
7,1513036800,153.9,155.3,149.05,152.55,7656986,2017-12-12
8,1513123200,150.0,153.4,146.2,147.5,7720271,2017-12-13
9,1513209600,147.0,150.3,142.85,148.55,4719833,2017-12-14
10,1513296000,154.95,155.8,150.7,155.2,9641091,2017-12-15
11,1513555200,148.0,166.45,139.7,159.95,36258411,2017-12-18
12,1513641600,159.9,161.7,155.85,160.4,8093608,2017-12-19
13,1513728000,160.0,163.05,157.7,160.95,6211843,2017-12-20
14,1513814400,161.0,164.95,160.25,162.6,5528048,2017-12-21
15,1513900800,162.95,165.95,161.1,162.9,4597724,2017-12-22
16,1514246400,163.0,165.2,160.95,163.2,2925999,2017-12-26
17,1514332800,163.0,169.35,162.4,165.95,9076528,2017-12-27
18,1514419200,166.0,167.2,163.5,165.25,3753225,2017-12-28
19,1514505600,165.0,168.25,163.9,166.35,4272076,2017-12-29
0,1514764800,165.8,169.85,165.0,166.05,4220395,2018-01-01
1,1514851200,166.1,167.4,162.15,163.9,2712044,2018-01-02
2,1514937600,163.9,180.25,163.9,176.2,21268697,2018-01-03
3,1515024000,176.0,185.2,174.15,183.3,12411875,2018-01-04
4,1515110400,184.8,194.3,182.4,193.15,11521764,2018-01-05
5,1515369600,192.6,201.0,192.3,196.45,8253904,2018-01-08
6,1515456000,198.0,198.95,194.1,195.9,4715461,2018-01-09
7,1515542400,196.1,203.85,196.0,198.8,11667268,2018-01-10
8,1515628800,198.0,203.7,195.55,201.7,5579135,2018-01-11
9,1515715200,202.0,203.75,194.25,199.95,5218945,2018-01-12
10,1515974400,201.0,202.2,197.3,198.2,2971871,2018-01-15
11,1516060800,198.7,199.1,188.2,194.6,7331265,2018-01-16
12,1516147200,194.2,205.7,187.9,204.55,9472531,2018-01-17
13,1516233600,206.0,207.5,188.7,195.25,13242809,2018-01-18
14,1516320000,195.25,201.0,188.55,199.7,14032888,2018-01-19
15,1516579200,198.0,202.35,196.0,198.9,5740115,2018-01-22
16,1516665600,199.4,205.25,196.1,204.4,7561852,2018-01-23
17,1516752000,204.3,207.55,200.0,205.5,7805766,2018-01-24
18,1516838400,205.0,215.75,201.8,214.4,13233590,2018-01-25
19,1517184000,215.6,220.5,210.6,213.35,7973287,2018-01-29
20,1517270400,211.0,213.55,207.5,211.3,4290228,2018-01-30
21,1517356800,209.95,218.75,209.15,213.2,7732419,2018-01-31
22,1517443200,213.0,217.05,203.7,214.0,4905671,2018-02-01
23,1517529600,213.0,213.0,195.1,197.2,6946208,2018-02-02
24,1517788800,185.1,201.0,183.7,199.45,6443758,2018-02-05
25,1517875200,185.0,198.2,182.7,195.3,5920376,2018-02-06
26,1517961600,199.55,202.75,195.1,196.75,3982586,2018-02-07
27,1518048000,198.25,206.15,196.9,204.5,4439467,2018-02-08
28,1518134400,200.0,211.85,197.65,210.1,6060617,2018-02-09
29,1518393600,211.2,219.3,211.2,217.25,7269216,2018-02-12
30,1518566400,218.5,223.5,216.75,219.45,6915464,2018-02-14
31,1518652800,221.1,222.65,210.65,214.75,4974761,2018-02-15
32,1518739200,215.8,218.45,204.8,207.8,5458989,2018-02-16
33,1518998400,205.0,207.45,200.5,202.9,4869612,2018-02-19
34,1519084800,202.0,203.55,195.0,198.0,6326486,2018-02-20
35,1519171200,199.3,200.5,195.3,197.4,4152954,2018-02-21
36,1519257600,196.0,204.45,193.8,203.3,8957045,2018-02-22
37,1519344000,204.5,205.75,201.5,204.35,5007111,2018-02-23
38,1519603200,205.0,207.85,203.5,205.6,2916864,2018-02-26
39,1519689600,206.0,209.85,201.2,207.05,5990667,2018-02-27
40,1519776000,204.95,207.95,202.5,203.55,3876913,2018-02-28
41,1519862400,203.55,206.7,198.2,199.15,3600007,2018-03-01
42,1520208000,199.0,202.7,196.75,200.9,3891702,2018-03-05
43,1520294400,202.5,203.35,180.1,186.2,8063223,2018-03-06
44,1520380800,182.9,185.45,169.2,172.2,21742279,2018-03-07
45,1520467200,174.0,177.4,160.0,168.95,19371103,2018-03-08
46,1520553600,168.95,170.5,154.65,156.1,17088755,2018-03-09
47,1520812800,158.45,164.4,150.0,162.25,20088994,2018-03-12
48,1520899200,162.05,164.5,157.0,159.75,15160439,2018-03-13
49,1520985600,156.8,165.2,156.55,163.75,13334956,2018-03-14
50,1521072000,163.5,170.45,163.2,167.05,13195532,2018-03-15
51,1521158400,167.5,168.45,159.15,160.5,12405008,2018-03-16
52,1521417600,160.0,162.0,154.65,160.6,11657832,2018-03-19
53,1521504000,158.95,163.4,158.3,160.95,9395255,2018-03-20
54,1521590400,161.75,166.15,161.15,162.2,7748642,2018-03-21
55,1521676800,162.4,163.85,158.55,159.45,6171698,2018-03-22
56,1521763200,155.0,156.2,148.7,152.45,9936873,2018-03-23
57,1522022400,152.5,166.25,150.75,163.75,12479612,2018-03-26
58,1522108800,165.9,167.7,158.6,159.9,12016092,2018-03-27
59,1522195200,158.9,161.9,154.7,156.4,11699148,2018-03-28
60,1522627200,157.3,162.45,151.2,160.9,9992345,2018-04-02
61,1522713600,158.25,163.3,156.55,162.4,11497486,2018-04-03
62,1522800000,162.45,166.4,147.1,151.45,33352404,2018-04-04
