,Time,Open,High,Low,Close,Volume,Date
0,1483315200,2642.7,2654.3,2552.0,2598.5,323342,2017-01-02
1,1483401600,2594.0,2632.2,2561.45,2619.2,420196,2017-01-03
2,1483488000,2625.2,2698.55,2615.95,2684.1,343922,2017-01-04
3,1483574400,2694.0,2730.0,2685.0,2723.35,188686,2017-01-05
4,1483660800,2721.0,2739.9,2696.7,2707.35,159484,2017-01-06
5,1483920000,2717.0,2746.0,2708.0,2723.15,116789,2017-01-09
6,1484006400,2728.25,2747.3,2712.0,2740.75,154097,2017-01-10
7,1484092800,2746.5,2748.5,2703.55,2718.55,225842,2017-01-11
8,1484179200,2715.0,2743.45,2707.65,2737.15,243299,2017-01-12
9,1484265600,2732.0,2753.75,2691.2,2708.55,247719,2017-01-13
10,1484524800,2703.0,2730.0,2686.65,2721.65,116324,2017-01-16
11,1484611200,2711.0,2742.0,2700.0,2728.9,139584,2017-01-17
12,1484697600,2743.0,2743.0,2687.35,2699.7,161391,2017-01-18
13,1484784000,2698.9,2712.0,2681.5,2695.3,235309,2017-01-19
14,1484870400,2689.0,2720.0,2682.0,2701.05,204961,2017-01-20
15,1485129600,2695.5,2715.0,2685.0,2706.5,147551,2017-01-23
16,1485216000,2712.0,2810.0,2701.65,2798.95,270474,2017-01-24
17,1485302400,2815.0,2866.0,2772.75,2849.65,451576,2017-01-25
18,1485475200,2840.0,2885.2,2830.0,2854.1,194917,2017-01-27
19,1485734400,2850.05,2852.0,2808.7,2825.05,280860,2017-01-30
20,1485820800,2821.1,2919.0,2789.3,2833.45,902056,2017-01-31
21,1485907200,2838.3,2872.0,2812.0,2854.15,369867,2017-02-01
22,1485993600,2852.0,2858.9,2801.1,2807.45,253057,2017-02-02
23,1486080000,2792.15,2815.4,2789.0,2808.1,236258,2017-02-03
24,1486339200,2815.35,2825.0,2784.1,2799.4,316141,2017-02-06
25,1486425600,2802.0,2809.7,2755.0,2769.8,321618,2017-02-07
26,1486512000,2772.2,2788.0,2760.1,2781.9,282631,2017-02-08
27,1486598400,2797.4,2810.0,2751.1,2784.3,213997,2017-02-09
28,1486684800,2795.0,2812.8,2773.65,2800.8,165244,2017-02-10
29,1486944000,2815.0,2817.0,2785.0,2806.5,116262,2017-02-13
30,1487030400,2806.85,2810.9,2755.15,2778.1,287490,2017-02-14
31,1487116800,2779.6,2802.3,2765.05,2789.6,265709,2017-02-15
32,1487203200,2799.0,2799.0,2765.0,2783.65,235740,2017-02-16
33,1487289600,2773.0,2792.0,2751.0,2778.9,437855,2017-02-17
34,1487548800,2784.4,2821.45,2764.4,2791.5,155317,2017-02-20
35,1487635200,2792.0,2806.0,2774.2,2799.25,100217,2017-02-21
36,1487721600,2793.5,2808.5,2777.05,2799.75,422928,2017-02-22
37,1487808000,2805.0,2824.45,2786.0,2814.1,605474,2017-02-23
38,1488153600,2810.0,2845.0,2783.55,2795.05,318398,2017-02-27
39,1488240000,2788.0,2804.25,2751.0,2755.9,280728,2017-02-28
40,1488326400,2756.0,2795.0,2752.05,2769.0,283157,2017-03-01
41,1488412800,2805.5,2844.8,2791.55,2832.05,705809,2017-03-02
42,1488499200,2835.0,2839.0,2807.0,2832.8,186815,2017-03-03
43,1488758400,2844.9,2896.0,2842.7,2883.1,400007,2017-03-06
44,1488844800,2885.4,2893.0,2870.5,2879.45,194245,2017-03-07
45,1488931200,2880.4,2882.9,2851.1,2869.95,174051,2017-03-08
46,1489017600,2860.0,2884.95,2852.0,2870.7,156617,2017-03-09
47,1489104000,2876.8,2889.9,2853.25,2864.55,114745,2017-03-10
48,1489449600,2902.0,2910.0,2854.05,2866.7,309456,2017-03-14
49,1489536000,2869.7,2890.0,2856.05,2873.1,221254,2017-03-15
50,1489622400,2881.3,2944.9,2862.5,2936.4,431866,2017-03-16
51,1489708800,2945.9,2948.7,2890.15,2912.5,296053,2017-03-17
52,1489968000,2916.15,2932.5,2905.15,2923.55,190575,2017-03-20
53,1490054400,2926.6,2930.15,2890.1,2906.85,214599,2017-03-21
54,1490140800,2890.25,2904.1,2845.15,2853.8,376780,2017-03-22
55,1490227200,2848.25,2875.0,2848.25,2865.95,364883,2017-03-23
56,1490313600,2880.0,2880.0,2835.05,2843.0,218228,2017-03-24
57,1490572800,2845.7,2853.0,2795.1,2808.4,242914,2017-03-27
58,1490659200,2820.0,2838.7,2810.05,2824.85,97374,2017-03-28
59,1490745600,2827.8,2850.0,2796.55,2831.1,507170,2017-03-29
60,1490832000,2840.05,2847.0,2815.0,2822.85,369748,2017-03-30
61,1490918400,2822.5,2832.7,2800.0,2805.45,227360,2017-03-31
62,1491177600,2808.4,2837.5,2775.0,2783.6,247337,2017-04-03
63,1491350400,2786.5,2798.95,2754.75,2760.85,407700,2017-04-05
64,1491436800,2787.85,2815.0,2781.05,2806.3,373610,2017-04-06
65,1491523200,2808.0,2845.95,2795.4,2830.45,413979,2017-04-07
66,1491782400,2855.0,2857.45,2822.0,2837.0,128113,2017-04-10
67,1491868800,2816.15,2834.75,2804.05,2822.45,266234,2017-04-11
68,1491955200,2820.0,2849.5,2807.0,2839.5,324376,2017-04-12
69,1492041600,2844.45,2868.5,2840.0,2848.15,372385,2017-04-13
70,1492387200,2844.9,2858.75,2823.55,2852.15,145680,2017-04-17
71,1492473600,2849.0,2862.7,2800.0,2824.4,272356,2017-04-18
72,1492560000,2820.2,2831.0,2788.05,2808.7,142477,2017-04-19
73,1492646400,2805.0,2848.45,2799.95,2831.5,127818,2017-04-20
