,Time,Open,High,Low,Close,Volume,Date
0,1483315200,289.8,297.9,285.88,294.96,779620,2017-01-02
1,1483401600,295.0,304.5,294.01,301.66,893630,2017-01-03
2,1483488000,302.01,303.7,294.76,296.09,855920,2017-01-04
3,1483574400,298.41,302.4,297.0,301.85,769120,2017-01-05
4,1483660800,301.8,302.1,296.8,297.86,571250,2017-01-06
5,1483920000,298.1,302.49,297.0,299.26,772390,2017-01-09
6,1484006400,299.6,302.0,299.0,301.01,349700,2017-01-10
7,1484092800,301.5,302.71,293.24,301.85,901490,2017-01-11
8,1484179200,301.9,302.02,299.01,301.86,524130,2017-01-12
9,1484265600,302.17,302.17,299.7,301.96,400330,2017-01-13
10,1484524800,301.8,302.82,299.35,301.26,220130,2017-01-16
11,1484611200,302.9,302.99,300.8,301.97,537170,2017-01-17
12,1484697600,301.1,305.99,301.1,304.66,905970,2017-01-18
13,1484784000,303.3,317.5,301.16,315.48,2799570,2017-01-19
14,1484870400,314.0,316.79,302.76,306.4,919010,2017-01-20
15,1485129600,305.66,308.21,302.44,306.35,645690,2017-01-23
16,1485216000,308.99,315.8,308.0,312.88,639220,2017-01-24
17,1485302400,315.48,317.5,313.27,316.97,1248180,2017-01-25
18,1485475200,316.0,319.5,316.0,316.94,747410,2017-01-27
19,1485734400,316.94,324.65,313.45,320.54,1759710,2017-01-30
20,1485820800,326.2,333.8,321.26,324.59,1846060,2017-01-31
21,1485907200,327.0,334.7,316.6,332.84,1248820,2017-02-01
22,1485993600,333.5,351.0,328.0,346.21,1705940,2017-02-02
23,1486080000,349.0,350.0,340.0,341.99,688140,2017-02-03
24,1486339200,345.2,374.8,342.91,372.2,3866130,2017-02-06
25,1486425600,373.8,377.78,365.5,369.12,1547120,2017-02-07
26,1486512000,370.0,374.3,360.5,366.3,1169340,2017-02-08
27,1486598400,366.5,370.48,355.1,357.7,1233120,2017-02-09
28,1486684800,359.0,366.1,356.5,363.1,1704820,2017-02-10
29,1486944000,365.52,368.5,359.26,363.73,1054820,2017-02-13
30,1487030400,363.99,365.47,357.26,359.29,716440,2017-02-14
31,1487116800,359.9,369.0,359.5,362.84,1307070,2017-02-15
32,1487203200,362.84,367.9,362.84,367.12,507840,2017-02-16
33,1487289600,367.5,369.89,365.16,368.55,451220,2017-02-17
34,1487548800,367.0,371.54,362.29,364.17,426170,2017-02-20
35,1487635200,364.98,364.98,358.11,362.41,605730,2017-02-21
36,1487721600,363.8,377.5,363.04,375.02,1195050,2017-02-22
37,1487808000,377.9,390.79,374.24,384.72,2003360,2017-02-23
38,1488153600,384.72,387.6,375.2,383.66,1074820,2017-02-27
39,1488240000,384.99,398.0,379.51,391.41,1667410,2017-02-28
40,1488326400,396.9,402.0,389.6,392.39,1211130,2017-03-01
41,1488412800,394.0,395.99,384.67,387.55,884980,2017-03-02
42,1488499200,384.67,386.76,374.0,376.17,1003410,2017-03-03
43,1488758400,378.4,384.9,377.5,381.77,817520,2017-03-06
44,1488844800,383.9,385.8,378.1,380.51,724610,2017-03-07
45,1488931200,380.51,386.2,376.21,383.21,722920,2017-03-08
46,1489017600,381.1,384.7,377.6,380.48,836780,2017-03-09
47,1489104000,380.25,384.4,379.23,382.61,600870,2017-03-10
48,1489449600,390.0,395.0,384.07,393.12,1443650,2017-03-14
49,1489536000,394.0,397.8,391.01,393.86,936410,2017-03-15
50,1489622400,395.01,408.13,395.0,404.01,1105990,2017-03-16
51,1489708800,405.0,406.0,395.0,396.91,1143950,2017-03-17
52,1489968000,397.0,399.8,394.24,396.58,464360,2017-03-20
53,1490054400,399.0,408.9,396.0,405.74,1096270,2017-03-21
54,1490140800,402.5,421.7,396.6,410.78,1409960,2017-03-22
55,1490227200,420.0,420.01,411.1,414.85,795100,2017-03-23
56,1490313600,412.0,419.49,410.65,412.93,518850,2017-03-24
57,1490572800,414.5,419.0,401.0,404.48,658880,2017-03-27
58,1490659200,406.5,412.45,406.07,409.08,743780,2017-03-28
59,1490745600,410.9,412.0,403.0,406.26,1079920,2017-03-29
60,1490832000,407.8,411.24,404.0,406.06,797770,2017-03-30
61,1490918400,405.0,412.0,405.0,409.84,656650,2017-03-31
62,1491177600,409.84,413.4,406.5,409.83,455440,2017-04-03
63,1491350400,409.1,416.75,408.6,412.88,925210,2017-04-05
64,1491436800,412.88,419.52,410.62,417.84,552020,2017-04-06
65,1491523200,415.5,429.0,414.05,422.62,1470250,2017-04-07
66,1491782400,424.1,439.0,423.34,437.3,1617290,2017-04-10
67,1491868800,438.5,445.5,434.65,437.49,785050,2017-04-11
68,1491955200,438.97,452.8,438.0,450.3,1454180,2017-04-12
69,1492041600,450.0,465.97,447.1,461.19,1332430,2017-04-13
70,1492387200,464.79,469.9,447.2,449.35,1370180,2017-04-17
71,1492473600,452.5,456.5,435.01,436.94,1293930,2017-04-18
72,1492560000,437.43,442.5,432.5,434.0,861160,2017-04-19
