,Time,Open,High,Low,Close,Volume,Date
0,1483315200,569.75,572.45,563.25,566.0,520139,2017-01-02
1,1483401600,566.8,576.8,562.0,573.65,626867,2017-01-03
2,1483488000,572.95,576.0,567.5,568.25,729355,2017-01-04
3,1483574400,570.2,581.5,569.3,579.85,919562,2017-01-05
4,1483660800,580.05,591.0,577.2,582.85,851729,2017-01-06
5,1483920000,583.55,588.95,574.9,576.7,545949,2017-01-09
6,1484006400,577.5,582.9,573.6,574.9,430654,2017-01-10
7,1484092800,576.95,579.0,569.5,576.95,543706,2017-01-11
8,1484179200,573.95,587.8,567.3,586.25,1086059,2017-01-12
9,1484265600,587.0,589.1,579.45,583.4,557024,2017-01-13
10,1484524800,577.4,592.0,577.4,588.8,634510,2017-01-16
11,1484611200,590.5,592.0,581.2,587.25,737937,2017-01-17
12,1484697600,588.8,593.4,577.35,580.8,591422,2017-01-18
13,1484784000,582.3,587.4,573.35,580.35,772657,2017-01-19
14,1484870400,583.8,592.5,574.4,577.6,1100568,2017-01-20
15,1485129600,574.45,583.45,573.0,575.75,1197343,2017-01-23
16,1485216000,574.7,581.3,574.1,579.9,527089,2017-01-24
17,1485302400,581.25,588.85,577.65,585.65,888914,2017-01-25
18,1485475200,584.7,591.4,579.45,580.15,622149,2017-01-27
19,1485734400,578.7,584.55,577.15,582.25,589553,2017-01-30
20,1485820800,581.55,583.0,572.6,575.35,712955,2017-01-31
21,1485907200,573.0,579.25,566.3,572.15,873328,2017-02-01
22,1485993600,575.0,587.0,567.05,584.35,1033116,2017-02-02
23,1486080000,584.3,611.5,580.4,607.9,2491068,2017-02-03
24,1486339200,610.35,621.25,599.1,601.6,2513820,2017-02-06
25,1486425600,601.8,608.0,594.6,597.55,1084820,2017-02-07
26,1486512000,600.0,609.0,597.75,603.2,2122225,2017-02-08
27,1486598400,611.0,611.55,584.45,587.65,4192748,2017-02-09
28,1486684800,592.0,593.75,576.8,579.95,1485266,2017-02-10
29,1486944000,582.7,585.4,576.05,582.65,946922,2017-02-13
30,1487030400,582.0,586.6,574.1,576.05,816754,2017-02-14
31,1487116800,577.5,578.65,571.15,574.25,1441907,2017-02-15
32,1487203200,575.0,585.4,574.5,584.6,1156826,2017-02-16
33,1487289600,585.9,596.45,580.65,593.25,1209276,2017-02-17
34,1487548800,593.2,597.75,582.0,592.75,1008015,2017-02-20
35,1487635200,591.9,595.0,588.5,593.1,712028,2017-02-21
36,1487721600,592.2,592.9,586.0,589.25,942703,2017-02-22
37,1487808000,589.3,594.2,586.05,592.4,1263865,2017-02-23
38,1488153600,592.0,594.9,581.35,585.25,867683,2017-02-27
39,1488240000,587.7,592.8,582.6,583.7,749802,2017-02-28
40,1488326400,585.7,592.9,584.2,586.3,808027,2017-03-01
41,1488412800,588.3,591.95,586.4,589.25,1571599,2017-03-02
42,1488499200,588.95,596.7,585.0,588.6,759454,2017-03-03
43,1488758400,592.0,595.0,588.2,590.1,943409,2017-03-06
44,1488844800,591.7,591.7,586.1,588.05,475240,2017-03-07
45,1488931200,591.75,593.35,583.05,591.85,1055453,2017-03-08
46,1489017600,588.8,593.45,585.25,589.2,690612,2017-03-09
47,1489104000,589.2,591.5,587.05,589.1,558480,2017-03-10
48,1489449600,597.0,601.5,590.35,600.2,1324778,2017-03-14
49,1489536000,602.0,605.85,598.55,600.2,1479366,2017-03-15
50,1489622400,605.1,605.9,598.05,601.4,852049,2017-03-16
51,1489708800,604.5,604.5,594.25,597.3,2189719,2017-03-17
52,1489968000,597.5,601.5,593.45,596.3,1027093,2017-03-20
53,1490054400,598.5,598.5,590.3,591.85,861663,2017-03-21
54,1490140800,588.9,598.45,587.9,595.2,1018355,2017-03-22
55,1490227200,595.8,598.2,582.2,596.25,1555876,2017-03-23
56,1490313600,595.0,598.25,591.5,593.95,930175,2017-03-24
57,1490572800,597.0,597.0,590.0,592.1,1038435,2017-03-27
58,1490659200,592.0,596.0,591.45,594.15,772698,2017-03-28
59,1490745600,595.0,596.55,591.9,593.15,1047812,2017-03-29
60,1490832000,594.5,600.85,591.8,598.35,2096305,2017-03-30
61,1490918400,598.0,598.9,591.0,592.95,2242680,2017-03-31
62,1491177600,595.3,595.3,590.1,592.65,758083,2017-04-03
63,1491350400,600.0,603.9,590.45,593.05,1926049,2017-04-05
64,1491436800,591.5,593.65,587.05,590.3,1436914,2017-04-06
65,1491523200,590.35,593.45,585.15,590.0,1958876,2017-04-07
66,1491782400,591.0,594.2,588.25,589.65,1177737,2017-04-10
67,1491868800,590.0,591.65,575.1,580.05,2103296,2017-04-11
68,1491955200,575.0,582.0,570.65,579.4,1188457,2017-04-12
69,1492041600,580.5,582.95,574.7,577.25,1038273,2017-04-13
70,1492387200,580.0,580.0,573.05,576.5,487497,2017-04-17
71,1492473600,576.5,578.25,573.25,575.8,1062574,2017-04-18
72,1492560000,576.0,577.0,572.75,575.4,1078477,2017-04-19
73,1492646400,576.0,577.2,573.3,574.05,1339006,2017-04-20
74,1492732800,573.0,574.0,562.7,564.45,1256922,2017-04-21
75,1492992000,565.0,565.1,553.65,557.05,1997176,2017-04-24
76,1493078400,556.95,561.6,550.3,552.95,1543039,2017-04-25
77,1493164800,549.8,561.0,545.4,556.75,1425158,2017-04-26
78,1493251200,560.0,564.8,555.05,561.7,2343761,2017-04-27
79,1493337600,561.95,561.95,555.0,557.45,865584,2017-04-28
80,1493683200,558.0,559.0,553.8,555.35,1380964,2017-05-02
81,1493769600,554.6,558.35,553.2,556.05,798476,2017-05-03
82,1493856000,557.6,557.6,548.2,549.95,1271612,2017-05-04
83,1493942400,549.0,554.4,544.15,549.95,560799,2017-05-05
84,1494201600,549.95,554.8,546.5,551.55,302450,2017-05-08
85,1494288000,552.0,554.0,545.05,552.95,652189,2017-05-09
86,1494374400,552.85,562.55,551.25,561.05,718502,2017-05-10
87,1494460800,562.45,565.0,558.3,561.95,566621,2017-05-11
88,1494547200,560.1,569.85,557.15,567.95,725246,2017-05-12
89,1494806400,567.0,572.45,561.0,569.0,606569,2017-05-15
90,1494892800,566.65,570.0,564.0,565.6,330195,2017-05-16
91,1494979200,565.1,566.0,560.05,562.35,895238,2017-05-17
92,1495065600,559.3,564.95,556.8,560.1,2155599,2017-05-18
93,1495152000,561.3,566.65,558.65,564.95,685662,2017-05-19
94,1495411200,567.0,567.7,553.1,563.1,948063,2017-05-22
95,1495497600,558.6,558.8,531.25,533.2,1225772,2017-05-23
96,1495584000,531.0,536.35,514.0,519.65,1340656,2017-05-24
97,1495670400,522.0,525.0,496.4,504.0,4378940,2017-05-25
98,1495756800,483.0,504.75,480.2,488.9,7010307,2017-05-26
99,1496016000,492.0,507.5,488.9,505.35,4118338,2017-05-29
100,1496102400,504.8,517.6,501.4,510.5,1047968,2017-05-30
101,1496188800,514.8,520.1,505.0,516.35,1366315,2017-05-31
102,1496275200,519.7,529.9,513.05,515.55,1433241,2017-06-01
103,1496361600,517.7,533.9,517.7,530.05,2152367,2017-06-02
104,1496620800,531.3,536.7,528.0,534.8,802335,2017-06-05
105,1496707200,537.7,539.55,522.35,534.65,765557,2017-06-06
106,1496793600,536.4,543.45,530.7,540.2,719071,2017-06-07
107,1496880000,538.75,554.7,537.1,550.15,1396596,2017-06-08
108,1496966400,554.5,555.8,545.25,551.1,867969,2017-06-09
109,1497225600,549.0,555.2,544.55,553.35,910344,2017-06-12
110,1497312000,553.35,555.0,546.55,551.55,946713,2017-06-13
111,1497398400,551.5,554.5,536.35,539.9,1176535,2017-06-14
112,1497484800,539.7,550.9,537.05,549.45,826366,2017-06-15
113,1497571200,548.0,551.95,535.05,536.75,1127326,2017-06-16
114,1497830400,537.1,542.5,524.0,539.75,1723168,2017-06-19
115,1497916800,539.75,549.5,536.0,547.85,774728,2017-06-20
116,1498003200,544.5,546.0,535.2,541.0,784293,2017-06-21
117,1498089600,540.0,545.55,539.05,540.15,750732,2017-06-22
118,1498176000,540.9,544.0,538.3,541.15,603986,2017-06-23
119,1498521600,542.5,551.6,533.1,534.65,1038604,2017-06-27
120,1498608000,535.4,538.65,531.0,536.85,601643,2017-06-28
121,1498694400,538.45,546.95,534.25,543.75,1252382,2017-06-29
122,1498780800,545.0,558.9,542.5,555.6,830751,2017-06-30
123,1499040000,559.0,559.9,548.85,551.85,490390,2017-07-03
124,1499126400,557.7,558.0,543.3,545.05,559358,2017-07-04
125,1499212800,546.1,547.8,541.45,545.9,833105,2017-07-05
126,1499299200,546.35,547.9,540.1,542.85,556426,2017-07-06
127,1499385600,542.6,552.0,541.5,547.15,893680,2017-07-07
128,1499644800,550.0,560.0,546.0,549.2,123415,2017-07-10
129,1499731200,550.5,552.65,536.05,538.45,1526837,2017-07-11
130,1499817600,539.45,543.5,537.0,539.95,1039208,2017-07-12
131,1499904000,540.2,544.45,538.85,543.65,694180,2017-07-13
132,1499990400,544.25,551.15,540.85,548.05,960041,2017-07-14
133,1500249600,549.0,559.0,546.7,556.5,692893,2017-07-17
134,1500336000,558.0,567.0,555.1,559.75,1319574,2017-07-18
135,1500422400,560.2,569.45,560.2,568.25,761444,2017-07-19
136,1500508800,569.0,577.0,562.65,571.9,1090882,2017-07-20
137,1500595200,570.0,570.0,560.15,566.2,672906,2017-07-21
138,1500854400,564.0,575.5,562.1,569.75,873677,2017-07-24
139,1500940800,571.0,571.4,562.4,564.4,510032,2017-07-25
