,Time,Open,High,Low,Close,Volume,Date
0,1483315200,300.05,302.65,297.0,300.05,1729563,2017-01-02
1,1483401600,301.0,307.3,299.5,305.3,1459916,2017-01-03
2,1483488000,306.0,310.0,305.45,306.15,1954806,2017-01-04
3,1483574400,307.1,311.4,306.6,308.3,1845973,2017-01-05
4,1483660800,309.0,310.55,305.0,306.2,940177,2017-01-06
5,1483920000,305.85,305.95,299.6,300.0,1947858,2017-01-09
6,1484006400,301.05,303.25,299.1,300.6,1455309,2017-01-10
7,1484092800,301.6,318.0,301.6,316.85,7657690,2017-01-11
8,1484179200,318.0,318.65,310.5,313.2,2316891,2017-01-12
9,1484265600,316.0,319.3,313.55,315.0,3458448,2017-01-13
10,1484524800,319.0,319.0,310.35,313.8,3866192,2017-01-16
11,1484611200,314.55,315.45,306.05,307.0,3759649,2017-01-17
12,1484697600,304.8,309.8,304.55,308.7,3680888,2017-01-18
13,1484784000,309.0,310.45,306.6,307.35,2434032,2017-01-19
14,1484870400,307.0,308.35,302.45,303.7,3784930,2017-01-20
15,1485129600,303.9,306.2,302.55,303.4,1855848,2017-01-23
16,1485216000,304.5,310.75,303.6,309.45,2508724,2017-01-24
17,1485302400,309.8,319.0,307.5,317.2,5594608,2017-01-25
18,1485475200,318.0,320.4,316.0,317.75,2607499,2017-01-27
19,1485734400,316.6,317.55,313.4,314.7,1713746,2017-01-30
20,1485820800,313.4,314.35,303.0,309.2,17232981,2017-01-31
21,1485907200,310.0,313.7,306.3,313.05,3168177,2017-02-01
22,1485993600,311.4,322.8,308.75,320.45,3723534,2017-02-02
23,1486080000,320.45,326.9,320.45,326.15,3778609,2017-02-03
24,1486339200,326.0,329.0,322.4,325.05,1934568,2017-02-06
25,1486425600,326.0,326.5,310.55,315.05,5669911,2017-02-07
26,1486512000,313.0,322.5,313.0,321.75,4346528,2017-02-08
27,1486598400,322.1,325.0,318.2,322.15,2390829,2017-02-09
28,1486684800,324.0,325.25,321.4,324.5,2168081,2017-02-10
29,1486944000,318.0,321.5,314.8,320.9,4142829,2017-02-13
30,1487030400,319.0,320.7,315.25,320.2,2050709,2017-02-14
31,1487116800,320.95,322.8,317.25,319.95,2649600,2017-02-15
32,1487203200,317.5,319.0,315.8,318.3,2703863,2017-02-16
33,1487289600,320.0,320.0,311.0,316.25,4292500,2017-02-17
34,1487548800,316.25,320.9,314.1,319.9,2429373,2017-02-20
35,1487635200,320.5,321.4,317.1,319.6,1678198,2017-02-21
36,1487721600,322.3,329.7,320.55,328.35,3479768,2017-02-22
37,1487808000,329.6,332.0,325.5,327.7,9869639,2017-02-23
38,1488153600,330.0,332.3,327.7,329.95,5619203,2017-02-27
