,Time,Open,High,Low,Close,Volume,Date
0,1483315200,794.8,803.85,783.8,797.85,2246725,2017-01-02
1,1483401600,801.0,811.45,773.65,777.85,2244443,2017-01-03
2,1483488000,781.4,784.8,748.6,752.3,3592668,2017-01-04
3,1483574400,760.0,772.0,752.2,764.0,2766188,2017-01-05
4,1483660800,764.0,770.0,735.2,737.4,3469778,2017-01-06
5,1483920000,733.75,767.05,728.15,734.15,5617248,2017-01-09
6,1484006400,739.7,747.0,730.5,739.35,2965489,2017-01-10
7,1484092800,744.0,749.95,738.1,740.1,1664183,2017-01-11
8,1484179200,735.5,742.45,730.2,738.3,1669512,2017-01-12
9,1484265600,739.1,756.5,739.0,746.2,2252584,2017-01-13
10,1484524800,744.0,756.0,737.0,738.0,1772100,2017-01-16
11,1484611200,745.0,745.0,732.0,738.4,1754258,2017-01-17
12,1484697600,737.5,747.4,735.55,739.25,1610696,2017-01-18
13,1484784000,742.0,743.0,729.0,732.2,1272642,2017-01-19
14,1484870400,730.0,731.95,711.0,714.4,2245530,2017-01-20
15,1485129600,711.0,711.0,684.7,687.05,2931044,2017-01-23
16,1485216000,689.0,692.5,676.5,683.05,2842017,2017-01-24
17,1485302400,685.0,686.75,671.5,673.3,3149495,2017-01-25
18,1485475200,675.0,716.0,675.0,708.5,3560127,2017-01-27
19,1485734400,709.8,717.0,700.0,701.1,2056687,2017-01-30
20,1485820800,702.7,708.0,693.1,700.1,1262953,2017-01-31
21,1485907200,700.0,705.0,691.0,693.7,962459,2017-02-01
22,1485993600,693.7,742.75,685.05,737.65,3714463,2017-02-02
23,1486080000,744.0,771.35,735.1,760.35,4003286,2017-02-03
24,1486339200,773.0,776.0,731.8,755.3,4132473,2017-02-06
25,1486425600,756.1,763.95,731.5,737.9,1253993,2017-02-07
26,1486512000,739.0,747.6,734.0,739.3,741700,2017-02-08
27,1486598400,740.9,759.8,736.0,757.05,1524937,2017-02-09
28,1486684800,758.8,764.9,746.5,750.1,815744,2017-02-10
29,1486944000,753.1,755.0,737.0,740.4,634245,2017-02-13
30,1487030400,743.0,743.0,720.8,724.5,1023673,2017-02-14
31,1487116800,728.0,728.0,705.1,709.5,839676,2017-02-15
32,1487203200,710.8,734.9,701.0,733.2,981043,2017-02-16
33,1487289600,740.0,752.8,730.0,748.5,1169616,2017-02-17
34,1487548800,751.0,765.0,745.0,756.75,990960,2017-02-20
35,1487635200,759.0,767.5,751.5,762.4,839400,2017-02-21
36,1487721600,762.8,764.1,744.6,751.0,687454,2017-02-22
37,1487808000,752.0,757.5,746.2,749.55,1331033,2017-02-23
38,1488153600,754.0,779.0,751.95,767.1,1867238,2017-02-27
39,1488240000,770.0,773.9,757.8,758.85,800786,2017-02-28
40,1488326400,762.4,782.85,761.4,764.85,1615887,2017-03-01
41,1488412800,768.0,774.55,749.0,751.55,996652,2017-03-02
42,1488499200,750.9,760.0,748.1,758.5,467700,2017-03-03
43,1488758400,761.6,763.9,754.4,757.7,389466,2017-03-06
44,1488844800,759.0,760.05,750.0,755.0,756161,2017-03-07
45,1488931200,755.95,786.7,755.95,774.45,3371633,2017-03-08
46,1489017600,770.2,787.0,754.0,759.9,1454586,2017-03-09
47,1489104000,767.5,767.5,756.3,761.3,540659,2017-03-10
48,1489449600,774.9,779.0,763.0,771.85,667664,2017-03-14
49,1489536000,772.0,777.3,765.0,767.4,318722,2017-03-15
50,1489622400,769.1,779.5,769.1,771.2,580238,2017-03-16
51,1489708800,774.0,777.0,762.0,763.8,545476,2017-03-17
52,1489968000,770.0,795.0,764.35,790.65,1390193,2017-03-20
53,1490054400,711.6,711.6,628.6,634.45,20647975,2017-03-21
54,1490140800,620.0,639.6,611.45,627.0,9453821,2017-03-22
55,1490227200,628.85,645.0,620.2,622.55,5171016,2017-03-23
56,1490313600,628.0,630.9,622.0,623.45,1913210,2017-03-24
57,1490572800,633.0,645.0,628.05,634.55,4793870,2017-03-27
58,1490659200,637.85,641.85,629.0,633.1,1638403,2017-03-28
59,1490745600,636.8,638.65,625.1,626.75,1342990,2017-03-29
60,1490832000,628.8,633.6,622.0,622.95,1482125,2017-03-30
61,1490918400,625.5,629.5,622.55,623.85,943936,2017-03-31
62,1491177600,628.0,629.9,625.3,627.3,1394464,2017-04-03
63,1491350400,629.85,638.65,627.95,631.75,1845745,2017-04-05
64,1491436800,632.85,635.9,626.0,628.15,944868,2017-04-06
65,1491523200,628.1,632.95,619.05,622.05,1103003,2017-04-07
66,1491782400,656.0,661.0,642.2,658.1,5746326,2017-04-10
67,1491868800,661.8,664.15,655.05,659.0,1917078,2017-04-11
68,1491955200,658.9,659.75,642.0,650.7,1243019,2017-04-12
69,1492041600,651.05,656.0,646.3,648.9,839170,2017-04-13
70,1492387200,650.0,654.5,638.1,639.9,1080488,2017-04-17
71,1492473600,641.9,647.0,631.0,632.15,847780,2017-04-18
72,1492560000,634.2,637.2,632.0,633.35,543978,2017-04-19
73,1492646400,636.4,638.0,629.5,630.9,497703,2017-04-20
74,1492732800,633.6,637.0,630.0,630.85,484788,2017-04-21
75,1492992000,610.15,639.05,606.0,634.85,2643935,2017-04-24
76,1493078400,638.0,649.25,634.35,647.25,1302405,2017-04-25
77,1493164800,627.8,645.45,627.8,643.5,1064558,2017-04-26
78,1493251200,640.0,643.5,627.1,629.65,899486,2017-04-27
79,1493337600,630.15,633.9,625.0,628.4,664760,2017-04-28
80,1493683200,629.9,636.55,623.0,626.75,678683,2017-05-02
81,1493769600,629.7,632.1,622.65,624.75,605083,2017-05-03
82,1493856000,625.25,632.55,625.0,626.9,370345,2017-05-04
