,Time,Open,High,Low,Close,Volume,Date
0,1483315200,3066.0,3117.0,3066.0,3083.4,95526,2017-01-02
1,1483401600,3095.0,3114.95,3065.75,3072.4,110920,2017-01-03
2,1483488000,3096.25,3113.3,3075.05,3091.3,235845,2017-01-04
3,1483574400,3088.65,3145.0,3076.0,3136.25,243653,2017-01-05
4,1483660800,3148.8,3203.85,3145.7,3159.15,354039,2017-01-06
5,1483920000,3154.0,3154.0,3051.85,3060.2,280298,2017-01-09
6,1484006400,3070.85,3074.0,3035.15,3041.85,246022,2017-01-10
7,1484092800,3055.05,3060.0,3021.95,3042.45,277037,2017-01-11
8,1484179200,2977.0,3019.1,2943.0,3008.5,434390,2017-01-12
9,1484265600,2992.0,3004.0,2975.0,2979.75,197516,2017-01-13
10,1484524800,2999.0,3007.0,2965.35,2985.3,201640,2017-01-16
11,1484611200,2988.05,3000.0,2970.75,2976.55,117685,2017-01-17
12,1484697600,2976.6,2982.2,2942.0,2948.05,431020,2017-01-18
13,1484784000,2958.0,2974.75,2933.45,2940.25,281420,2017-01-19
14,1484870400,2940.0,2959.7,2920.0,2947.4,240877,2017-01-20
15,1485129600,2939.0,2959.95,2904.0,2923.65,239373,2017-01-23
16,1485216000,2940.25,2979.8,2931.75,2973.35,199296,2017-01-24
17,1485302400,2975.0,3009.0,2955.65,2996.3,327631,2017-01-25
18,1485475200,2970.0,3011.55,2960.0,2994.55,192111,2017-01-27
19,1485734400,2990.0,3043.9,2984.05,3017.05,192634,2017-01-30
20,1485820800,3024.0,3042.0,3012.2,3018.8,144631,2017-01-31
21,1485907200,3021.1,3032.95,2944.1,3001.2,266573,2017-02-01
22,1485993600,3003.1,3139.5,2982.05,3097.05,503874,2017-02-02
23,1486080000,3110.0,3159.0,3082.95,3144.55,276520,2017-02-03
24,1486339200,3170.0,3177.0,3045.9,3096.8,496961,2017-02-06
25,1486425600,3095.0,3110.0,3047.0,3065.1,193317,2017-02-07
26,1486512000,3067.95,3067.95,3001.0,3015.45,382685,2017-02-08
27,1486598400,3022.0,3029.4,3003.0,3023.1,188798,2017-02-09
28,1486684800,3024.9,3034.35,2970.0,2976.05,315001,2017-02-10
29,1486944000,2980.95,2988.25,2955.45,2966.95,150555,2017-02-13
30,1487030400,2971.8,2971.8,2935.0,2941.45,280718,2017-02-14
31,1487116800,2940.0,2943.95,2906.2,2911.35,191099,2017-02-15
32,1487203200,2914.1,2942.5,2798.95,2923.2,1367869,2017-02-16
33,1487289600,2926.0,2953.75,2900.0,2912.7,897496,2017-02-17
34,1487548800,2922.4,2925.05,2890.0,2898.75,560362,2017-02-20
35,1487635200,2898.0,2935.1,2885.1,2894.05,1524490,2017-02-21
