,Time,Open,High,Low,Close,Volume,Date
0,1483315200,868.0,876.0,859.95,873.3,322725,2017-01-02
1,1483401600,874.0,881.0,865.0,869.1,216885,2017-01-03
2,1483488000,869.7,876.0,862.0,867.0,172556,2017-01-04
3,1483574400,868.0,880.6,859.7,865.8,388847,2017-01-05
4,1483660800,865.0,865.0,851.0,855.25,472216,2017-01-06
5,1483920000,857.3,865.5,850.85,858.6,232095,2017-01-09
6,1484006400,861.0,864.0,846.25,848.25,288368,2017-01-10
7,1484092800,853.2,861.25,848.8,857.9,345265,2017-01-11
8,1484179200,858.1,863.6,850.65,855.55,328149,2017-01-12
9,1484265600,858.0,858.05,843.3,846.05,231538,2017-01-13
10,1484524800,844.9,863.1,836.65,854.75,345285,2017-01-16
11,1484611200,855.75,862.9,842.1,845.45,276321,2017-01-17
12,1484697600,849.0,868.65,844.65,865.1,1294212,2017-01-18
13,1484784000,868.75,868.75,858.05,864.8,1503169,2017-01-19
14,1484870400,860.0,885.2,858.9,863.3,808041,2017-01-20
15,1485129600,864.75,887.0,859.5,883.7,1484010,2017-01-23
16,1485216000,887.7,916.9,884.8,911.35,1329568,2017-01-24
17,1485302400,909.0,942.4,905.0,928.1,3268276,2017-01-25
18,1485475200,928.6,939.7,925.0,931.2,692430,2017-01-27
19,1485734400,936.7,1005.55,935.0,969.55,4598207,2017-01-30
20,1485820800,956.2,967.55,906.75,910.55,3656688,2017-01-31
21,1485907200,920.0,945.0,920.0,939.7,1652529,2017-02-01
22,1485993600,945.0,955.45,932.7,952.25,946890,2017-02-02
23,1486080000,948.5,961.0,940.0,944.3,658482,2017-02-03
24,1486339200,961.8,963.0,941.8,945.15,645195,2017-02-06
25,1486425600,949.5,959.0,942.5,950.35,590498,2017-02-07
26,1486512000,950.55,979.2,947.7,976.1,782689,2017-02-08
27,1486598400,983.5,983.5,955.1,974.65,742982,2017-02-09
28,1486684800,1011.0,1024.45,999.1,1011.1,6500838,2017-02-10
29,1486944000,1014.0,1020.0,997.15,1000.3,1957065,2017-02-13
30,1487030400,1004.45,1015.0,997.2,1011.0,1521072,2017-02-14
31,1487116800,1013.0,1034.0,999.6,1006.6,2095622,2017-02-15
32,1487203200,1011.0,1031.9,1005.5,1027.05,1360420,2017-02-16
33,1487289600,1034.9,1044.75,1025.2,1040.6,1492049,2017-02-17
34,1487548800,1044.0,1058.45,1035.0,1055.35,1742189,2017-02-20
35,1487635200,1065.5,1074.0,1056.05,1068.3,1683282,2017-02-21
36,1487721600,1070.0,1077.4,1028.1,1047.5,3140226,2017-02-22
37,1487808000,1048.0,1054.9,1019.05,1024.9,4527045,2017-02-23
38,1488153600,1024.8,1035.8,1013.6,1018.35,1950222,2017-02-27
39,1488240000,1022.9,1038.6,980.4,990.2,25358922,2017-02-28
40,1488326400,987.5,1014.0,975.8,1005.7,1873926,2017-03-01
41,1488412800,1012.9,1012.9,990.0,995.1,904344,2017-03-02
42,1488499200,998.0,1028.65,990.5,1021.0,1562464,2017-03-03
43,1488758400,1025.0,1028.7,996.95,1004.1,801326,2017-03-06
44,1488844800,1013.7,1013.7,995.9,1006.1,788500,2017-03-07
