,Time,Open,High,Low,Close,Volume,Date
0,1483315200,1272.0,1272.0,1213.7,1217.1,2369360,2017-01-02
1,1483401600,1218.7,1222.6,1200.5,1214.0,3203369,2017-01-03
2,1483488000,1215.8,1224.5,1197.25,1212.1,2805972,2017-01-04
3,1483574400,1215.7,1220.4,1205.1,1217.2,3339784,2017-01-05
4,1483660800,1219.0,1232.0,1218.8,1222.35,2774461,2017-01-06
5,1483920000,1225.0,1229.0,1212.6,1223.55,2016528,2017-01-09
6,1484006400,1225.0,1227.95,1213.05,1217.25,2669824,2017-01-10
7,1484092800,1224.7,1233.0,1218.2,1230.05,1353730,2017-01-11
8,1484179200,1234.0,1242.95,1217.6,1221.1,1477834,2017-01-12
9,1484265600,1224.95,1250.6,1222.15,1247.5,2131709,2017-01-13
10,1484524800,1245.1,1264.0,1240.25,1256.9,1694061,2017-01-16
11,1484611200,1258.35,1261.0,1234.95,1245.8,1185487,2017-01-17
12,1484697600,1246.3,1260.95,1245.65,1249.05,1491317,2017-01-18
13,1484784000,1251.7,1251.7,1232.9,1242.4,1599732,2017-01-19
14,1484870400,1236.15,1245.0,1230.6,1237.3,1408933,2017-01-20
15,1485129600,1234.7,1262.0,1232.0,1259.75,2265524,2017-01-23
16,1485216000,1263.1,1282.0,1260.0,1280.75,1937436,2017-01-24
17,1485302400,1284.0,1341.45,1279.7,1337.4,5273331,2017-01-25
18,1485475200,1329.15,1379.0,1329.15,1373.7,4017493,2017-01-27
19,1485734400,1370.4,1379.4,1360.0,1371.9,2427494,2017-01-30
20,1485820800,1371.45,1388.2,1353.0,1365.85,2588181,2017-01-31
21,1485907200,1370.0,1417.45,1369.65,1412.1,2637813,2017-02-01
22,1485993600,1411.0,1411.0,1385.7,1401.3,2336054,2017-02-02
23,1486080000,1401.5,1408.0,1385.6,1397.45,2144208,2017-02-03
24,1486339200,1402.0,1411.85,1388.6,1400.3,2029593,2017-02-06
25,1486425600,1399.6,1410.0,1388.4,1407.25,2731391,2017-02-07
26,1486512000,1410.0,1410.0,1383.8,1401.1,2263272,2017-02-08
27,1486598400,1402.0,1421.2,1385.65,1396.9,2389616,2017-02-09
28,1486684800,1408.0,1410.0,1382.8,1388.55,1637560,2017-02-10
29,1486944000,1398.4,1398.4,1372.6,1392.05,1638938,2017-02-13
30,1487030400,1398.0,1403.65,1388.05,1398.15,1564027,2017-02-14
31,1487116800,1399.9,1409.8,1389.5,1399.15,2323380,2017-02-15
32,1487203200,1394.15,1403.0,1386.25,1393.55,2017252,2017-02-16
33,1487289600,1425.0,1432.65,1400.2,1402.5,2075335,2017-02-17
34,1487548800,1401.55,1402.85,1386.0,1393.3,1470475,2017-02-20
35,1487635200,1393.1,1414.0,1389.85,1412.45,734159,2017-02-21
36,1487721600,1415.0,1415.0,1391.8,1394.1,2494083,2017-02-22
37,1487808000,1401.0,1404.9,1378.0,1385.7,4125739,2017-02-23
38,1488153600,1389.45,1389.45,1368.1,1375.7,2822066,2017-02-27
39,1488240000,1377.0,1383.95,1368.4,1370.05,2318175,2017-02-28
40,1488326400,1369.8,1405.0,1369.2,1400.55,2163448,2017-03-01
41,1488412800,1403.0,1415.4,1392.0,1399.0,2671884,2017-03-02
42,1488499200,1392.3,1397.0,1366.0,1371.2,1137208,2017-03-03
43,1488758400,1379.0,1392.0,1362.5,1365.95,2236116,2017-03-06
44,1488844800,1374.4,1374.4,1362.75,1365.4,1507326,2017-03-07
45,1488931200,1368.1,1376.8,1361.3,1367.7,2330472,2017-03-08
46,1489017600,1368.25,1381.9,1362.6,1371.5,2205255,2017-03-09
47,1489104000,1378.0,1383.35,1369.0,1373.8,1607599,2017-03-10
48,1489449600,1415.2,1428.0,1413.3,1424.15,6249576,2017-03-14
49,1489536000,1425.4,1435.0,1416.65,1426.1,2598530,2017-03-15
50,1489622400,1431.65,1454.75,1431.15,1450.25,3406772,2017-03-16
51,1489708800,1458.5,1458.5,1438.7,1451.2,3588003,2017-03-17
52,1489968000,1449.8,1464.95,1446.95,1457.75,1745773,2017-03-20
53,1490054400,1452.15,1473.45,1449.35,1458.4,2087458,2017-03-21
54,1490140800,1449.9,1454.75,1434.05,1442.3,1866922,2017-03-22
55,1490227200,1444.6,1460.9,1439.85,1456.65,2342002,2017-03-23
56,1490313600,1458.0,1467.25,1450.0,1462.6,1701119,2017-03-24
57,1490572800,1455.0,1478.5,1455.0,1474.7,2418666,2017-03-27
58,1490659200,1477.7,1508.0,1477.1,1504.1,2272786,2017-03-28
59,1490745600,1510.1,1531.0,1498.5,1522.05,3595260,2017-03-29
60,1490832000,1520.0,1528.4,1510.55,1519.95,8057156,2017-03-30
61,1490918400,1520.2,1520.2,1496.55,1502.1,2816509,2017-03-31
62,1491177600,1509.65,1537.2,1502.05,1533.65,2302442,2017-04-03
63,1491350400,1525.1,1530.0,1486.75,1490.15,4839266,2017-04-05
64,1491436800,1490.0,1490.0,1468.1,1482.6,3533800,2017-04-06
65,1491523200,1474.9,1494.0,1466.25,1484.75,2366116,2017-04-07
66,1491782400,1484.0,1484.0,1465.05,1467.5,2200153,2017-04-10
67,1491868800,1465.1,1486.95,1461.2,1476.85,2166320,2017-04-11
68,1491955200,1475.0,1476.45,1460.0,1466.65,2663565,2017-04-12
69,1492041600,1470.0,1484.7,1461.15,1474.9,1773012,2017-04-13
70,1492387200,1475.0,1494.45,1474.8,1479.55,1213004,2017-04-17
71,1492473600,1482.0,1491.0,1474.0,1480.05,1784505,2017-04-18
72,1492560000,1491.55,1492.3,1470.2,1490.2,1546962,2017-04-19
73,1492646400,1490.0,1531.75,1487.1,1517.1,2905255,2017-04-20
74,1492732800,1519.9,1526.75,1490.95,1507.45,1520049,2017-04-21
75,1492992000,1509.8,1538.55,1507.45,1530.7,1550370,2017-04-24
76,1493078400,1535.0,1557.6,1531.0,1548.4,2420240,2017-04-25
77,1493164800,1551.2,1590.0,1551.2,1586.0,3596629,2017-04-26
78,1493251200,1582.0,1589.95,1559.05,1566.5,4533632,2017-04-27
79,1493337600,1564.1,1566.0,1532.15,1537.15,2850999,2017-04-28
80,1493683200,1547.0,1590.75,1538.9,1584.75,4472856,2017-05-02
81,1493769600,1588.0,1591.85,1563.0,1571.3,4028393,2017-05-03
82,1493856000,1573.0,1587.4,1556.0,1564.35,5810079,2017-05-04
83,1493942400,1570.1,1570.2,1540.95,1546.85,2299986,2017-05-05
84,1494201600,1542.0,1549.0,1527.15,1529.5,1887869,2017-05-08
85,1494288000,1537.9,1542.8,1517.85,1523.5,2041977,2017-05-09
86,1494374400,1532.0,1575.25,1527.2,1572.0,2965910,2017-05-10
87,1494460800,1581.0,1581.0,1557.0,1565.3,2648011,2017-05-11
88,1494547200,1565.0,1566.2,1539.35,1549.8,1294006,2017-05-12
89,1494806400,1554.5,1572.6,1554.1,1559.5,1270297,2017-05-15
90,1494892800,1558.0,1569.0,1554.0,1566.55,2114918,2017-05-16
91,1494979200,1565.5,1570.95,1549.75,1552.5,2161434,2017-05-17
92,1495065600,1547.0,1558.6,1526.5,1537.05,2404372,2017-05-18
93,1495152000,1545.0,1548.0,1515.35,1520.6,2142433,2017-05-19
94,1495411200,1530.0,1530.0,1510.25,1519.85,1920867,2017-05-22
95,1495497600,1521.7,1537.2,1503.45,1511.5,1408855,2017-05-23
96,1495584000,1519.0,1541.75,1512.4,1524.85,2209471,2017-05-24
97,1495670400,1533.9,1546.0,1530.5,1539.75,4099792,2017-05-25
98,1495756800,1538.1,1563.0,1530.25,1547.9,1871008,2017-05-26
99,1496016000,1546.0,1601.25,1546.0,1598.85,3464406,2017-05-29
100,1496102400,1595.7,1604.0,1575.05,1579.5,1605211,2017-05-30
101,1496188800,1581.0,1596.15,1565.4,1569.85,4907685,2017-05-31
102,1496275200,1551.8,1587.4,1551.8,1583.75,2990228,2017-06-01
