,Time,Open,High,Low,Close,Volume,Date
0,1483315200,3042.0,3068.95,2992.55,3030.55,213654,2017-01-02
1,1483401600,2978.0,3016.15,2962.55,2986.55,454277,2017-01-03
2,1483488000,2999.0,3017.3,2971.0,3004.9,396816,2017-01-04
3,1483574400,3034.9,3083.8,3012.95,3071.75,383925,2017-01-05
4,1483660800,3085.0,3119.0,3052.0,3067.55,266915,2017-01-06
5,1483920000,3068.0,3107.9,3023.05,3031.45,211629,2017-01-09
6,1484006400,3055.0,3072.8,3019.45,3059.0,178876,2017-01-10
7,1484092800,3071.95,3092.0,3036.0,3084.25,379710,2017-01-11
8,1484179200,3100.0,3112.15,3070.0,3083.2,322348,2017-01-12
9,1484265600,3096.4,3099.0,3021.35,3046.55,168219,2017-01-13
10,1484524800,3047.0,3097.9,3026.6,3091.75,297394,2017-01-16
11,1484611200,3091.0,3154.65,3071.75,3132.65,224536,2017-01-17
12,1484697600,3151.0,3158.55,3076.1,3086.05,260704,2017-01-18
13,1484784000,3094.8,3110.95,3066.0,3102.35,277092,2017-01-19
14,1484870400,3099.95,3120.4,3044.25,3050.6,330431,2017-01-20
15,1485129600,3050.5,3107.0,3050.5,3096.8,621509,2017-01-23
16,1485216000,3123.5,3142.0,3085.0,3134.3,706800,2017-01-24
17,1485302400,3144.9,3275.95,3121.0,3247.45,1050202,2017-01-25
18,1485475200,3246.0,3267.95,3201.0,3215.85,532124,2017-01-27
19,1485734400,3215.0,3215.95,3156.75,3194.7,488948,2017-01-30
20,1485820800,3190.0,3218.85,3150.5,3172.35,273410,2017-01-31
21,1485907200,3175.0,3304.55,3169.5,3286.95,628791,2017-02-01
22,1485993600,3265.0,3285.0,3225.0,3228.75,354323,2017-02-02
23,1486080000,3228.0,3234.9,3201.0,3214.0,343388,2017-02-03
24,1486339200,3254.7,3282.8,3232.0,3270.45,362269,2017-02-06
25,1486425600,3278.75,3278.75,3227.1,3259.8,217985,2017-02-07
26,1486512000,3240.1,3279.0,3210.0,3222.55,541782,2017-02-08
27,1486598400,3285.0,3319.2,3225.75,3265.1,585465,2017-02-09
28,1486684800,3275.1,3284.8,3241.0,3268.6,233552,2017-02-10
29,1486944000,3266.0,3279.8,3215.1,3226.55,385934,2017-02-13
30,1487030400,3230.0,3235.05,3145.15,3162.95,420128,2017-02-14
