,Time,Open,High,Low,Close,Volume,Date
0,1483315200,233.0,233.0,225.55,229.05,8598636,2017-01-02
1,1483401600,229.18,232.18,226.64,231.27,8460088,2017-01-03
2,1483488000,231.14,232.5,227.64,228.27,5703455,2017-01-04
3,1483574400,230.18,235.0,229.27,233.86,11430305,2017-01-05
4,1483660800,234.77,237.64,233.82,234.68,7483590,2017-01-06
5,1483920000,234.45,236.23,232.73,235.18,6508508,2017-01-09
6,1484006400,236.36,238.09,234.82,236.55,12218215,2017-01-10
7,1484092800,238.64,243.73,237.82,240.64,16169983,2017-01-11
8,1484179200,242.36,245.0,241.32,243.95,9678744,2017-01-12
9,1484265600,245.45,245.45,240.73,243.68,6454855,2017-01-13
10,1484524800,243.09,246.23,240.73,244.82,7325353,2017-01-16
11,1484611200,245.0,246.82,241.36,244.0,5758728,2017-01-17
12,1484697600,243.09,247.36,242.5,244.05,8335212,2017-01-18
13,1484784000,244.36,246.09,242.0,245.18,7112138,2017-01-19
14,1484870400,242.73,243.59,238.68,239.5,10088479,2017-01-20
15,1485129600,238.0,238.0,231.95,234.14,36192866,2017-01-23
16,1485216000,235.05,235.05,232.41,233.77,21917395,2017-01-24
17,1485302400,235.45,237.09,232.36,236.32,33948829,2017-01-25
18,1485475200,239.14,249.09,237.0,247.27,73912104,2017-01-27
19,1485734400,248.18,250.55,245.18,246.18,14080555,2017-01-30
20,1485820800,244.36,249.09,242.23,244.5,16971211,2017-01-31
21,1485907200,241.68,257.73,238.91,255.45,36898630,2017-02-01
22,1485993600,256.36,261.36,255.05,259.82,23893325,2017-02-02
23,1486080000,259.05,259.05,253.45,255.95,16577634,2017-02-03
24,1486339200,257.77,265.68,257.77,263.91,18613163,2017-02-06
25,1486425600,261.82,266.09,259.36,261.91,10602729,2017-02-07
26,1486512000,261.82,262.27,257.0,259.82,13771056,2017-02-08
27,1486598400,260.55,262.5,253.27,259.09,13744780,2017-02-09
28,1486684800,259.64,260.14,254.64,256.0,13860679,2017-02-10
29,1486944000,256.82,258.27,254.14,256.05,10863169,2017-02-13
30,1487030400,257.27,259.91,255.73,258.77,10652227,2017-02-14
31,1487116800,259.27,260.36,253.27,255.23,11917972,2017-02-15
32,1487203200,255.73,255.86,248.05,253.45,16742021,2017-02-16
33,1487289600,254.27,260.09,250.77,257.27,23550696,2017-02-17
34,1487548800,257.32,260.14,255.55,256.68,8221142,2017-02-20
35,1487635200,257.27,259.82,255.64,258.91,9329444,2017-02-21
36,1487721600,261.73,261.73,255.59,260.14,25444041,2017-02-22
37,1487808000,258.82,262.5,256.41,258.64,21073685,2017-02-23
38,1488153600,259.09,259.59,251.91,253.5,12428086,2017-02-27
39,1488240000,253.59,254.64,250.64,251.23,15024661,2017-02-28
40,1488326400,252.36,255.41,252.05,253.73,16515010,2017-03-01
41,1488412800,256.41,258.64,251.82,253.32,16562752,2017-03-02
42,1488499200,253.27,253.55,250.05,250.86,7649726,2017-03-03
43,1488758400,250.86,253.95,250.45,251.59,10384347,2017-03-06
44,1488844800,251.82,253.86,250.0,250.91,7534138,2017-03-07
45,1488931200,251.09,251.41,247.36,249.45,10718801,2017-03-08
46,1489017600,249.09,250.86,247.82,248.64,9626289,2017-03-09
47,1489104000,250.14,251.36,244.91,245.95,13015894,2017-03-10
48,1489449600,255.55,262.0,255.55,261.14,35938848,2017-03-14
49,1489536000,259.91,260.91,258.27,259.23,11086650,2017-03-15
50,1489622400,260.5,261.32,256.77,258.64,8853077,2017-03-16
51,1489708800,260.09,260.64,254.23,255.09,20674631,2017-03-17
52,1489968000,254.27,254.27,249.09,250.05,10043989,2017-03-20
53,1490054400,250.91,251.64,246.45,247.32,13474444,2017-03-21
54,1490140800,243.55,244.32,240.45,240.91,20276043,2017-03-22
55,1490227200,242.27,243.86,240.73,242.68,10916962,2017-03-23
