,Time,Open,High,Low,Close,Volume,Date
0,1483315200,6030.0,6081.05,5939.95,5974.4,16376,2017-01-02
1,1483401600,5975.1,6069.95,5975.1,6027.4,13996,2017-01-03
2,1483488000,6040.0,6049.85,5851.0,5890.15,44184,2017-01-04
3,1483574400,5939.9,5965.0,5830.05,5921.8,49983,2017-01-05
4,1483660800,5916.15,5959.0,5890.0,5929.85,10929,2017-01-06
5,1483920000,5960.0,5980.0,5891.0,5910.85,5231,2017-01-09
6,1484006400,5940.0,5945.0,5856.15,5905.75,13422,2017-01-10
7,1484092800,5912.1,5940.0,5877.0,5914.8,26136,2017-01-11
8,1484179200,5900.0,5935.0,5833.0,5855.0,50031,2017-01-12
9,1484265600,5877.0,5915.0,5859.0,5899.3,20629,2017-01-13
10,1484524800,5910.05,5915.0,5870.9,5883.45,5009,2017-01-16
11,1484611200,5882.95,5914.5,5851.05,5895.8,10304,2017-01-17
12,1484697600,5885.15,5950.0,5872.0,5918.25,44155,2017-01-18
13,1484784000,5918.25,5939.0,5886.0,5911.45,31506,2017-01-19
14,1484870400,5905.0,5910.1,5871.0,5899.8,229261,2017-01-20
15,1485129600,5854.05,5940.05,5854.05,5924.05,19862,2017-01-23
16,1485216000,5915.2,5999.0,5881.65,5957.75,18514,2017-01-24
17,1485302400,5979.95,5993.0,5920.0,5965.95,76075,2017-01-25
18,1485475200,5975.0,6005.0,5851.0,5914.2,35907,2017-01-27
19,1485734400,5966.2,5975.0,5880.0,5899.5,41985,2017-01-30
20,1485820800,5882.0,5920.0,5828.0,5851.85,227693,2017-01-31
21,1485907200,5898.0,5935.0,5834.75,5912.45,18509,2017-02-01
22,1485993600,5934.0,6030.0,5885.0,5994.3,28641,2017-02-02
23,1486080000,5999.8,6145.0,5971.0,6088.5,25689,2017-02-03
24,1486339200,6085.0,6346.0,6085.0,6305.5,30113,2017-02-06
25,1486425600,6300.0,6350.0,6075.0,6128.25,35284,2017-02-07
26,1486512000,6194.95,6210.0,6140.0,6193.1,34358,2017-02-08
27,1486598400,6138.0,6220.0,6138.0,6196.7,54513,2017-02-09
28,1486684800,6195.0,6200.0,6090.6,6178.2,35678,2017-02-10
29,1486944000,6160.05,6210.0,6160.05,6200.15,65600,2017-02-13
30,1487030400,6200.05,6205.0,6115.05,6193.1,16393,2017-02-14
31,1487116800,6193.1,6275.35,6141.1,6169.35,20218,2017-02-15
32,1487203200,6098.0,6250.0,5962.35,6207.8,66496,2017-02-16
33,1487289600,6201.0,6267.0,6125.0,6240.5,31485,2017-02-17
34,1487548800,6155.0,6290.0,6155.0,6284.1,38912,2017-02-20
35,1487635200,6279.0,6450.0,6221.2,6376.5,45913,2017-02-21
36,1487721600,6400.0,6430.0,6333.5,6397.8,15382,2017-02-22
37,1487808000,6375.05,6415.0,6306.6,6381.85,15034,2017-02-23
38,1488153600,6398.9,6420.0,6310.0,6339.7,14282,2017-02-27
39,1488240000,6343.4,6394.75,6230.0,6254.25,32595,2017-02-28
40,1488326400,6235.15,6324.0,6233.0,6250.4,9522,2017-03-01
41,1488412800,6260.0,6300.0,6148.0,6197.6,25500,2017-03-02
42,1488499200,6190.15,6235.0,6164.3,6189.55,31558,2017-03-03
43,1488758400,6165.1,6300.0,6165.1,6272.7,9980,2017-03-06
44,1488844800,6275.1,6384.15,6190.0,6319.05,85668,2017-03-07
45,1488931200,6306.15,6372.1,6262.85,6346.4,12586,2017-03-08
46,1489017600,6365.0,6365.0,6180.0,6210.8,24732,2017-03-09
47,1489104000,6269.9,6269.9,6110.0,6131.75,19988,2017-03-10
48,1489449600,6248.0,6248.0,6091.2,6119.4,28535,2017-03-14
49,1489536000,6150.0,6160.95,6089.0,6104.95,46677,2017-03-15
50,1489622400,6145.0,6160.0,6100.0,6150.4,44325,2017-03-16
51,1489708800,6155.05,6249.0,6145.0,6222.1,51300,2017-03-17
52,1489968000,6249.0,6300.0,6210.0,6296.8,32611,2017-03-20
53,1490054400,6300.0,6345.95,6255.0,6335.2,33563,2017-03-21
54,1490140800,6301.0,6356.6,6254.9,6341.6,30771,2017-03-22
55,1490227200,6316.0,6352.5,6281.2,6338.2,50703,2017-03-23
56,1490313600,6326.9,6380.0,6279.45,6352.55,22772,2017-03-24
57,1490572800,6383.0,6499.0,6311.0,6463.35,18957,2017-03-27
58,1490659200,6463.35,6540.0,6402.4,6501.5,19821,2017-03-28
59,1490745600,6510.0,6525.0,6420.0,6493.2,64216,2017-03-29
60,1490832000,6493.2,6639.35,6464.95,6605.2,63730,2017-03-30
61,1490918400,6600.0,6720.0,6557.5,6680.65,41843,2017-03-31
62,1491177600,6612.05,6666.0,6560.35,6578.55,11510,2017-04-03
63,1491350400,6551.0,6650.0,6551.0,6628.05,22845,2017-04-05
64,1491436800,6600.0,6650.0,6596.0,6616.8,24871,2017-04-06
65,1491523200,6606.0,6644.0,6594.0,6619.7,24490,2017-04-07
66,1491782400,6624.0,6654.0,6537.2,6628.5,24268,2017-04-10
67,1491868800,6628.5,6628.55,6537.65,6559.25,15965,2017-04-11
68,1491955200,6573.95,6600.0,6415.0,6518.7,27166,2017-04-12
69,1492041600,6560.0,6560.0,6403.1,6438.25,22923,2017-04-13
70,1492387200,6489.0,6489.0,6300.0,6312.05,18421,2017-04-17
71,1492473600,6326.0,6371.0,6312.25,6337.8,36733,2017-04-18
72,1492560000,6315.0,6344.0,6280.0,6298.55,14258,2017-04-19
73,1492646400,6370.1,6388.95,6300.0,6339.75,14709,2017-04-20
74,1492732800,6350.0,6371.0,6303.0,6353.7,11992,2017-04-21
75,1492992000,6353.7,6355.75,6267.75,6287.8,22792,2017-04-24
76,1493078400,6300.0,6364.0,6290.0,6323.1,43876,2017-04-25
77,1493164800,6310.0,6444.0,6310.0,6424.3,19546,2017-04-26
78,1493251200,6449.0,6730.0,6427.75,6702.15,65906,2017-04-27
79,1493337600,6700.0,6785.9,6670.2,6697.75,52935,2017-04-28
80,1493683200,6723.9,6746.85,6683.05,6715.05,37803,2017-05-02
81,1493769600,6725.0,6735.0,6690.0,6715.55,23900,2017-05-03
