,Time,Open,High,Low,Close,Volume,Date
0,1483315200,137.97,139.25,137.29,138.08,1355388,2017-01-02
1,1483401600,139.02,141.73,138.72,141.39,5850135,2017-01-03
2,1483488000,141.39,141.99,139.89,140.41,5857449,2017-01-04
3,1483574400,140.64,143.8,139.92,143.5,4759812,2017-01-05
4,1483660800,143.72,145.0,141.54,141.95,4711983,2017-01-06
5,1483920000,142.26,142.26,139.17,140.26,2211821,2017-01-09
6,1484006400,140.3,141.58,139.14,140.26,3461574,2017-01-10
7,1484092800,140.83,143.91,139.77,142.71,16335841,2017-01-11
8,1484179200,142.86,150.19,142.86,148.87,20093002,2017-01-12
9,1484265600,150.3,150.3,147.41,148.23,17904884,2017-01-13
10,1484524800,148.12,151.17,147.93,149.92,6339227,2017-01-16
11,1484611200,149.92,150.86,146.69,148.68,7626094,2017-01-17
12,1484697600,148.87,150.11,148.16,149.21,15882555,2017-01-18
13,1484784000,149.55,153.16,148.31,151.73,6551319,2017-01-19
14,1484870400,152.33,152.33,148.46,149.92,9716002,2017-01-20
15,1485129600,150.26,152.03,149.66,150.53,5486866,2017-01-23
16,1485216000,151.13,153.91,150.83,152.89,5328729,2017-01-24
17,1485302400,153.12,153.42,151.8,152.71,7732895,2017-01-25
18,1485475200,153.01,155.6,152.29,153.8,8300696,2017-01-27
19,1485734400,153.61,155.23,152.26,154.66,4363753,2017-01-30
20,1485820800,154.51,157.33,153.72,155.79,5681066,2017-01-31
21,1485907200,156.84,156.84,153.95,154.74,5480358,2017-02-01
22,1485993600,154.81,154.89,152.82,153.35,5815780,2017-02-02
23,1486080000,152.78,154.74,151.2,151.65,3351174,2017-02-03
24,1486339200,152.07,153.53,150.19,151.2,4741019,2017-02-06
25,1486425600,151.62,153.08,149.77,150.3,4909892,2017-02-07
26,1486512000,151.13,152.41,149.1,151.2,6751341,2017-02-08
27,1486598400,152.18,154.59,150.98,151.99,9569064,2017-02-09
28,1486684800,154.29,154.74,149.81,150.3,12581400,2017-02-10
29,1486944000,151.65,153.35,150.0,152.67,7113744,2017-02-13
30,1487030400,153.31,153.35,150.45,151.02,7034818,2017-02-14
31,1487116800,151.43,152.33,150.19,151.47,5463073,2017-02-15
32,1487203200,150.38,152.22,149.7,151.24,4692639,2017-02-16
33,1487289600,151.88,152.82,150.04,152.29,3715770,2017-02-17
34,1487548800,153.31,155.94,151.73,155.23,7419542,2017-02-20
35,1487635200,155.23,156.24,153.8,155.0,5557699,2017-02-21
36,1487721600,156.88,157.07,151.05,151.58,19709781,2017-02-22
37,1487808000,151.88,151.88,149.29,149.74,10028100,2017-02-23
38,1488153600,150.38,150.38,144.29,144.92,11071231,2017-02-27
39,1488240000,144.29,146.5,144.02,144.47,7519722,2017-02-28
40,1488326400,145.49,146.39,144.25,144.85,7741844,2017-03-01
41,1488412800,145.86,145.86,142.11,142.67,7952086,2017-03-02
42,1488499200,142.11,143.8,141.35,143.5,6324705,2017-03-03
43,1488758400,144.25,147.52,143.68,145.75,11115706,2017-03-06
44,1488844800,146.28,147.33,145.53,146.28,8788079,2017-03-07
45,1488931200,146.84,148.57,145.98,147.07,5938829,2017-03-08
46,1489017600,147.22,147.22,144.74,146.2,7314996,2017-03-09
47,1489104000,146.62,147.14,142.89,144.77,12260620,2017-03-10
48,1489449600,149.21,149.4,144.81,145.6,8892436,2017-03-14
49,1489536000,145.86,145.9,144.74,145.08,5814868,2017-03-15
50,1489622400,145.98,146.95,144.92,146.69,3861817,2017-03-16
51,1489708800,147.97,148.12,145.19,145.86,7123798,2017-03-17
52,1489968000,145.86,146.2,144.92,145.56,7016306,2017-03-20
53,1490054400,145.86,146.28,145.04,145.3,6079878,2017-03-21
54,1490140800,144.02,147.07,143.95,144.44,6137038,2017-03-22
55,1490227200,145.11,145.49,144.06,145.15,4395502,2017-03-23
56,1490313600,145.75,146.73,145.3,145.68,4611690,2017-03-24
57,1490572800,145.86,147.44,145.6,146.5,5314829,2017-03-27
58,1490659200,146.35,148.12,146.35,147.89,4504146,2017-03-28
59,1490745600,148.35,148.46,147.18,148.01,4826206,2017-03-29
60,1490832000,148.35,148.68,146.05,146.95,9737630,2017-03-30
61,1490918400,147.11,150.3,147.11,148.35,6376177,2017-03-31
62,1491177600,149.92,149.92,147.37,147.52,7440488,2017-04-03
63,1491350400,148.01,148.8,146.02,146.62,5283241,2017-04-05
64,1491436800,147.67,148.83,145.19,148.27,5585826,2017-04-06
65,1491523200,147.41,147.56,146.24,146.62,6886916,2017-04-07
66,1491782400,146.65,147.11,146.13,146.84,4311619,2017-04-10
67,1491868800,146.88,151.58,146.24,149.74,7981072,2017-04-11
68,1491955200,150.38,151.5,147.37,148.57,4953114,2017-04-12
69,1492041600,148.72,151.17,147.97,150.38,4421686,2017-04-13
70,1492387200,150.34,152.74,149.62,152.11,8333064,2017-04-17
71,1492473600,152.26,153.61,151.62,152.14,5741935,2017-04-18
72,1492560000,152.52,160.53,151.84,158.8,21769856,2017-04-19
73,1492646400,159.4,159.7,154.47,157.07,8844751,2017-04-20
74,1492732800,157.44,158.23,153.23,154.59,5938676,2017-04-21
75,1492992000,155.26,155.6,153.46,154.02,5626521,2017-04-24
