,Time,Open,High,Low,Close,Volume,Date
0,1483315200,536.91,539.88,531.14,537.46,803612,2017-01-02
1,1483401600,539.81,543.35,535.47,539.59,728471,2017-01-03
2,1483488000,541.32,541.37,527.15,528.56,1176621,2017-01-04
3,1483574400,530.47,534.88,529.36,533.64,988869,2017-01-05
4,1483660800,532.06,537.41,531.51,532.43,888294,2017-01-06
5,1483920000,533.44,537.9,530.47,533.79,592017,2017-01-09
6,1484006400,534.93,542.06,534.93,539.81,1285019,2017-01-10
7,1484092800,542.36,542.71,536.91,537.93,1299290,2017-01-11
8,1484179200,538.4,540.06,534.83,536.56,494990,2017-01-12
9,1484265600,537.18,543.6,537.18,540.08,819071,2017-01-13
10,1484524800,539.86,541.84,531.93,533.07,1360111,2017-01-16
11,1484611200,527.5,528.99,514.37,515.74,4442039,2017-01-17
12,1484697600,516.4,519.08,509.55,511.43,1796507,2017-01-18
13,1484784000,512.71,517.74,510.66,512.0,1730461,2017-01-19
14,1484870400,512.12,513.85,507.14,508.08,994613,2017-01-20
15,1485129600,506.1,510.66,501.64,503.18,1552055,2017-01-23
16,1485216000,503.73,509.57,503.73,508.83,1066437,2017-01-24
17,1485302400,511.15,511.5,503.3,503.87,2701012,2017-01-25
18,1485475200,505.33,509.62,504.72,507.74,2475158,2017-01-27
19,1485734400,507.66,518.31,507.59,517.49,1775052,2017-01-30
20,1485820800,518.51,521.95,515.27,517.69,1712451,2017-01-31
21,1485907200,518.14,520.52,512.74,519.9,1280759,2017-02-01
22,1485993600,520.07,520.47,514.25,516.85,1030189,2017-02-02
23,1486080000,518.09,520.29,510.21,511.97,1496689,2017-02-03
24,1486339200,513.63,517.54,511.18,515.93,1131268,2017-02-06
25,1486425600,516.11,516.28,508.78,510.61,1121492,2017-02-07
26,1486512000,510.61,514.25,506.2,507.76,1837628,2017-02-08
27,1486598400,509.17,512.15,508.58,511.53,1116524,2017-02-09
28,1486684800,512.64,512.91,507.96,510.24,1417331,2017-02-10
29,1486944000,511.65,512.15,506.2,510.09,969801,2017-02-13
30,1487030400,512.64,521.51,510.11,519.97,2065627,2017-02-14
31,1487116800,521.51,523.79,517.72,520.71,1725071,2017-02-15
32,1487203200,521.33,529.7,521.33,528.74,2225330,2017-02-16
33,1487289600,528.24,534.04,524.26,532.7,1680994,2017-02-17
34,1487548800,530.25,534.36,528.24,532.65,1319061,2017-02-20
35,1487635200,532.55,540.35,531.49,538.99,1606170,2017-02-21
36,1487721600,541.37,600.14,540.87,598.08,14415320,2017-02-22
37,1487808000,601.1,605.26,584.14,585.82,7047811,2017-02-23
38,1488153600,589.66,622.5,589.59,613.63,9444927,2017-02-27
39,1488240000,610.22,618.14,608.48,613.21,4088511,2017-02-28
40,1488326400,614.23,616.36,609.23,611.45,2760906,2017-03-01
41,1488412800,613.14,621.46,607.76,612.57,2045131,2017-03-02
42,1488499200,614.95,637.85,614.95,623.37,9544949,2017-03-03
43,1488758400,628.54,649.84,626.68,646.55,7554468,2017-03-06
44,1488844800,653.23,657.27,641.99,646.35,4763274,2017-03-07
45,1488931200,647.71,647.71,637.01,639.54,4906543,2017-03-08
46,1489017600,638.94,642.91,634.73,637.33,3520464,2017-03-09
47,1489104000,639.07,641.92,624.68,634.81,2806184,2017-03-10
