,Time,Open,High,Low,Close,Volume,Date
0,1483315200,122.8,124.2,121.35,123.55,1102178,2017-01-02
1,1483401600,122.8,125.4,122.8,124.45,580430,2017-01-03
2,1483488000,125.0,126.05,123.8,124.45,656213,2017-01-04
3,1483574400,124.75,125.65,124.55,125.2,503565,2017-01-05
4,1483660800,125.4,126.95,124.05,124.65,1255021,2017-01-06
5,1483920000,124.75,125.5,123.95,124.75,414927,2017-01-09
6,1484006400,125.5,125.5,123.8,124.45,533212,2017-01-10
7,1484092800,125.0,127.9,124.55,127.55,839283,2017-01-11
8,1484179200,128.3,128.4,124.05,125.15,1403598,2017-01-12
9,1484265600,126.9,130.9,126.65,128.35,3617760,2017-01-13
10,1484524800,128.2,128.4,127.0,127.65,538746,2017-01-16
11,1484611200,128.6,129.4,126.55,127.6,851814,2017-01-17
12,1484697600,128.0,130.45,127.7,128.65,1059940,2017-01-18
13,1484784000,129.8,131.55,129.15,130.5,1308883,2017-01-19
14,1484870400,130.25,131.35,126.0,126.4,961631,2017-01-20
15,1485129600,127.6,128.4,126.6,127.9,746313,2017-01-23
16,1485216000,128.8,128.95,126.85,128.45,996229,2017-01-24
17,1485302400,129.25,129.25,127.45,128.35,909771,2017-01-25
18,1485475200,128.35,129.95,128.35,129.2,759876,2017-01-27
19,1485734400,129.1,131.8,128.1,130.45,1256759,2017-01-30
20,1485820800,130.5,132.0,128.5,128.85,1614154,2017-01-31
21,1485907200,129.05,130.65,127.35,130.1,1221969,2017-02-01
22,1485993600,132.45,138.8,132.4,137.65,6652685,2017-02-02
23,1486080000,138.2,143.9,137.1,141.85,3569132,2017-02-03
24,1486339200,141.9,144.75,141.2,142.75,2127506,2017-02-06
25,1486425600,142.1,145.8,140.1,141.65,2205918,2017-02-07
26,1486512000,141.95,146.9,141.35,146.15,2162887,2017-02-08
27,1486598400,146.0,147.15,143.05,143.9,1726818,2017-02-09
28,1486684800,143.95,145.5,142.6,143.95,1367413,2017-02-10
29,1486944000,144.9,146.85,141.25,141.95,2224197,2017-02-13
30,1487030400,142.4,143.7,139.95,141.2,1395593,2017-02-14
31,1487116800,140.9,142.85,138.0,138.75,1193620,2017-02-15
32,1487203200,139.2,140.7,138.1,140.1,942382,2017-02-16
33,1487289600,140.9,141.95,139.65,140.15,952450,2017-02-17
34,1487548800,141.0,142.6,139.8,141.6,1517679,2017-02-20
35,1487635200,142.15,143.2,141.0,141.6,1671915,2017-02-21
36,1487721600,142.55,142.75,139.6,140.0,1296093,2017-02-22
37,1487808000,140.05,140.9,138.7,139.25,1340126,2017-02-23
38,1488153600,139.0,140.45,138.35,138.9,1129032,2017-02-27
39,1488240000,139.15,139.85,136.75,138.05,1513693,2017-02-28
40,1488326400,138.5,145.8,138.25,143.6,4919352,2017-03-01
41,1488412800,145.45,145.75,140.05,141.1,1765255,2017-03-02
42,1488499200,141.1,144.2,140.1,143.35,1672938,2017-03-03
43,1488758400,143.95,145.2,142.1,143.25,2043052,2017-03-06
44,1488844800,143.0,144.15,142.2,142.75,727617,2017-03-07
45,1488931200,142.4,143.0,140.05,141.4,1103877,2017-03-08
46,1489017600,140.6,142.35,140.2,140.8,1073015,2017-03-09
47,1489104000,140.85,142.25,136.75,137.1,1671172,2017-03-10
48,1489449600,140.2,140.4,138.6,139.5,838219,2017-03-14
49,1489536000,139.6,142.1,139.3,140.9,1279451,2017-03-15
50,1489622400,141.6,145.5,141.35,144.7,3987646,2017-03-16
51,1489708800,145.7,145.7,142.25,144.8,1898811,2017-03-17
52,1489968000,144.8,147.45,144.8,146.45,2675495,2017-03-20
53,1490054400,147.0,148.45,145.1,145.9,2955856,2017-03-21
54,1490140800,145.55,145.55,142.2,143.1,2306755,2017-03-22
55,1490227200,143.9,152.5,143.2,151.6,6422298,2017-03-23
56,1490313600,152.9,153.15,150.5,151.15,3485991,2017-03-24
57,1490572800,151.0,151.9,148.0,148.6,2933289,2017-03-27
58,1490659200,149.9,153.9,148.0,150.55,2740120,2017-03-28
59,1490745600,151.7,153.0,149.5,150.6,2092924,2017-03-29
60,1490832000,151.45,152.75,149.7,150.15,3022795,2017-03-30
61,1490918400,151.45,152.1,150.1,150.55,1193137,2017-03-31
62,1491177600,150.65,153.5,150.3,151.9,1788548,2017-04-03
63,1491350400,152.8,154.8,151.0,152.65,2011288,2017-04-05
64,1491436800,152.9,154.35,151.25,153.05,2295942,2017-04-06
65,1491523200,152.8,154.45,150.0,150.6,1444642,2017-04-07
66,1491782400,151.5,152.25,149.4,150.95,1857915,2017-04-10
67,1491868800,151.5,153.75,151.05,153.4,2064221,2017-04-11
68,1491955200,153.95,153.95,150.3,151.75,1907247,2017-04-12
69,1492041600,152.0,153.0,149.8,150.5,1272204,2017-04-13
70,1492387200,151.0,151.0,148.55,149.45,830703,2017-04-17
71,1492473600,149.1,152.5,147.5,148.15,1563947,2017-04-18
72,1492560000,147.9,150.8,147.5,150.2,1092317,2017-04-19
73,1492646400,150.25,153.6,150.25,152.15,1540540,2017-04-20
74,1492732800,153.5,153.9,149.7,151.3,1293698,2017-04-21
75,1492992000,151.0,153.25,151.0,151.95,1079887,2017-04-24
76,1493078400,152.4,153.15,151.0,151.7,945527,2017-04-25
77,1493164800,152.45,156.6,151.6,153.75,4161713,2017-04-26
78,1493251200,155.0,155.4,151.55,152.1,1388038,2017-04-27
79,1493337600,153.4,154.7,152.0,153.1,1132516,2017-04-28
80,1493683200,154.3,161.45,153.75,157.7,6827849,2017-05-02
81,1493769600,158.85,158.85,155.55,156.2,1523044,2017-05-03
82,1493856000,156.3,158.3,154.8,155.35,1653237,2017-05-04
83,1493942400,156.5,156.5,151.1,152.3,1349536,2017-05-05
84,1494201600,152.8,154.15,151.95,152.6,1239593,2017-05-08
85,1494288000,153.2,155.15,152.55,154.05,939148,2017-05-09
86,1494374400,154.9,156.35,153.9,154.85,1186929,2017-05-10
87,1494460800,155.0,156.2,153.2,154.0,589464,2017-05-11
88,1494547200,154.0,154.75,151.65,152.65,940916,2017-05-12
89,1494806400,152.65,155.0,152.45,154.6,1012554,2017-05-15
90,1494892800,154.6,155.45,153.0,154.45,1306020,2017-05-16
91,1494979200,154.0,154.65,152.5,152.85,1161590,2017-05-17
92,1495065600,152.0,152.6,147.0,147.5,1233917,2017-05-18
93,1495152000,149.5,153.8,148.35,149.5,2744849,2017-05-19
94,1495411200,149.8,151.15,147.2,147.8,1098727,2017-05-22
95,1495497600,148.05,148.4,143.65,144.75,1355129,2017-05-23
96,1495584000,145.2,146.1,140.2,141.7,1755862,2017-05-24
97,1495670400,143.45,144.65,142.1,143.05,1842806,2017-05-25
98,1495756800,144.0,147.25,143.5,146.9,1417686,2017-05-26
99,1496016000,147.2,147.5,143.9,145.4,977041,2017-05-29
100,1496102400,145.0,146.2,143.7,145.55,1513053,2017-05-30
101,1496188800,148.55,151.0,147.55,149.4,3325237,2017-05-31
102,1496275200,148.35,154.0,148.25,152.4,2952069,2017-06-01
103,1496361600,153.1,158.35,152.15,154.85,3603942,2017-06-02
104,1496620800,155.05,156.5,152.9,154.95,1647207,2017-06-05
105,1496707200,155.0,155.65,152.2,153.0,1290705,2017-06-06
106,1496793600,152.65,156.4,152.4,155.55,1943703,2017-06-07
107,1496880000,155.1,156.9,153.4,154.6,1479812,2017-06-08
108,1496966400,154.9,155.65,152.8,154.4,1319642,2017-06-09
109,1497225600,153.5,154.5,151.75,152.1,1438107,2017-06-12
110,1497312000,152.45,157.7,151.7,156.45,3463217,2017-06-13
111,1497398400,156.95,160.45,155.05,158.45,4815053,2017-06-14
112,1497484800,158.45,162.75,157.6,159.1,3647423,2017-06-15
