,Time,Open,High,Low,Close,Volume,Date
0,1483315200,39.33,40.82,38.88,40.66,55763220,2017-01-02
1,1483401600,40.69,40.88,40.11,40.32,33377250,2017-01-03
2,1483488000,40.4,40.89,40.13,40.53,33429600,2017-01-04
3,1483574400,40.9,42.24,40.72,41.92,71939470,2017-01-05
4,1483660800,42.04,42.53,41.55,41.94,41367370,2017-01-06
5,1483920000,42.36,42.41,41.92,42.19,31217580,2017-01-09
6,1484006400,42.26,43.24,42.25,43.18,51169060,2017-01-10
7,1484092800,43.52,45.08,43.45,44.81,114275460,2017-01-11
8,1484179200,44.89,45.1,44.31,44.74,53597360,2017-01-12
9,1484265600,44.99,45.03,44.11,44.62,42307800,2017-01-13
10,1484524800,44.41,45.94,44.31,45.83,66737860,2017-01-16
11,1484611200,45.89,45.95,45.08,45.41,33416340,2017-01-17
12,1484697600,45.46,46.98,45.41,46.82,91139770,2017-01-18
13,1484784000,46.85,46.86,46.22,46.7,34439530,2017-01-19
14,1484870400,46.58,46.76,45.25,45.44,49257240,2017-01-20
15,1485129600,45.08,46.38,45.05,46.17,43485660,2017-01-23
16,1485216000,46.18,46.63,45.84,46.41,37305800,2017-01-24
17,1485302400,46.68,47.66,46.59,46.93,63055270,2017-01-25
18,1485475200,46.97,47.36,46.32,46.91,49758010,2017-01-27
19,1485734400,46.83,46.83,46.0,46.19,33216730,2017-01-30
20,1485820800,46.01,47.12,46.0,46.29,45422990,2017-01-31
21,1485907200,46.39,47.57,45.7,47.44,55708110,2017-02-01
22,1485993600,47.33,48.07,46.61,47.68,59861770,2017-02-02
23,1486080000,47.67,47.98,46.8,47.26,52830440,2017-02-03
24,1486339200,47.42,47.74,46.9,47.32,48053110,2017-02-06
25,1486425600,47.49,47.96,46.99,47.26,48350640,2017-02-07
26,1486512000,48.48,48.52,46.73,47.05,112837880,2017-02-08
27,1486598400,46.95,47.32,45.64,45.97,64836640,2017-02-09
28,1486684800,46.68,47.16,46.04,46.8,79095270,2017-02-10
29,1486944000,47.3,47.68,46.99,47.24,48971920,2017-02-13
30,1487030400,47.37,47.47,46.59,47.22,32506460,2017-02-14
31,1487116800,47.25,47.46,45.71,46.0,42273390,2017-02-15
32,1487203200,46.45,47.13,45.55,46.98,48188070,2017-02-16
33,1487289600,47.21,47.47,46.65,46.8,39208510,2017-02-17
34,1487548800,46.78,48.88,46.46,48.69,84384210,2017-02-20
35,1487635200,48.88,49.57,48.48,49.08,80611030,2017-02-21
36,1487721600,49.03,49.13,48.04,48.39,50089120,2017-02-22
37,1487808000,48.49,48.77,47.8,48.56,48089050,2017-02-23
38,1488153600,48.5,48.8,47.93,48.04,27300030,2017-02-27
39,1488240000,48.13,48.56,48.03,48.25,34017840,2017-02-28
40,1488326400,48.48,50.23,48.32,50.02,77140710,2017-03-01
41,1488412800,50.18,50.54,49.21,49.45,57206960,2017-03-02
42,1488499200,49.44,49.76,48.94,49.49,33568140,2017-03-03
43,1488758400,49.49,50.08,49.01,49.25,41520830,2017-03-06
44,1488844800,49.33,49.38,48.05,48.18,51215330,2017-03-07
45,1488931200,48.47,48.62,46.99,47.23,59333880,2017-03-08
46,1489017600,47.17,47.52,46.75,46.93,44943300,2017-03-09
47,1489104000,46.83,47.42,46.21,46.76,45221470,2017-03-10
48,1489449600,47.88,47.88,47.03,47.24,55637700,2017-03-14
49,1489536000,47.38,47.98,47.02,47.89,55600640,2017-03-15
50,1489622400,48.47,50.08,48.18,49.95,103883900,2017-03-16
51,1489708800,50.37,50.86,49.79,50.2,67981080,2017-03-17
52,1489968000,50.23,50.25,49.18,49.65,39942450,2017-03-20
53,1490054400,49.67,50.11,49.22,49.62,49660760,2017-03-21
54,1490140800,48.98,49.36,48.62,48.79,46508430,2017-03-22
55,1490227200,48.73,49.64,48.73,49.53,41256010,2017-03-23
56,1490313600,49.59,49.97,49.09,49.3,30811110,2017-03-24
