,Time,Open,High,Low,Close,Volume,Date
0,1483315200,178.14,179.4,176.44,176.83,307619,2017-01-02
1,1483401600,177.38,177.79,174.64,175.13,460868,2017-01-03
2,1483488000,175.13,179.1,174.79,178.35,756330,2017-01-04
3,1483574400,178.91,182.21,178.91,180.15,652125,2017-01-05
4,1483660800,179.44,180.04,175.88,176.23,1047716,2017-01-06
5,1483920000,175.88,177.92,173.18,177.0,490281,2017-01-09
6,1484006400,177.23,179.57,176.72,178.69,441048,2017-01-10
7,1484092800,179.21,180.56,178.13,178.58,563379,2017-01-11
8,1484179200,178.5,181.59,177.84,181.2,467685,2017-01-12
9,1484265600,181.91,182.42,180.13,181.74,540349,2017-01-13
10,1484524800,181.09,182.89,179.93,181.78,403417,2017-01-16
11,1484611200,182.01,182.89,180.19,180.9,368619,2017-01-17
12,1484697600,180.9,182.63,180.0,181.11,357953,2017-01-18
13,1484784000,181.28,181.67,178.22,179.63,598160,2017-01-19
14,1484870400,178.71,179.93,178.13,179.21,509653,2017-01-20
15,1485129600,177.21,181.61,176.91,179.91,763560,2017-01-23
16,1485216000,180.99,181.13,178.5,180.56,490147,2017-01-24
17,1485302400,180.75,181.5,176.7,177.64,1363314,2017-01-25
18,1485475200,176.06,177.64,174.11,174.58,1284020,2017-01-27
19,1485734400,174.0,175.5,171.56,174.66,1231742,2017-01-30
20,1485820800,174.68,174.68,167.01,171.75,1828552,2017-01-31
21,1485907200,172.88,172.88,168.75,171.0,1093845,2017-02-01
22,1485993600,171.0,171.73,167.29,170.87,1021466,2017-02-02
23,1486080000,171.0,172.35,170.29,171.66,585307,2017-02-03
24,1486339200,171.99,173.55,170.44,172.91,824940,2017-02-06
25,1486425600,173.25,173.25,170.83,171.96,557472,2017-02-07
26,1486512000,171.88,174.43,171.41,172.69,875964,2017-02-08
27,1486598400,171.86,175.07,171.51,174.75,659268,2017-02-09
28,1486684800,175.26,177.08,174.15,175.97,511681,2017-02-10
29,1486944000,175.5,178.5,175.22,177.92,565435,2017-02-13
30,1487030400,178.93,179.14,177.08,178.76,577383,2017-02-14
31,1487116800,178.71,179.74,175.73,178.01,705061,2017-02-15
32,1487203200,177.38,180.71,177.38,180.3,708377,2017-02-16
33,1487289600,180.75,181.37,177.77,178.26,526337,2017-02-17
34,1487548800,178.13,179.03,177.39,178.37,381819,2017-02-20
35,1487635200,178.13,180.28,177.81,178.43,853677,2017-02-21
36,1487721600,178.16,179.08,176.33,177.94,694848,2017-02-22
37,1487808000,177.94,183.47,176.83,182.29,1086733,2017-02-23
38,1488153600,180.0,184.73,179.87,183.66,941025,2017-02-27
39,1488240000,183.75,184.58,182.64,183.3,675142,2017-02-28
40,1488326400,183.0,185.68,182.18,183.21,678288,2017-03-01
41,1488412800,185.25,185.79,183.04,183.83,677885,2017-03-02
42,1488499200,184.05,185.87,182.7,185.19,493412,2017-03-03
43,1488758400,184.24,184.74,183.23,184.46,392913,2017-03-06
44,1488844800,185.06,187.35,184.46,185.68,1100136,2017-03-07
45,1488931200,185.49,186.08,183.49,185.66,383084,2017-03-08
46,1489017600,184.88,184.88,181.26,181.69,469931,2017-03-09
47,1489104000,181.91,183.36,181.35,182.64,364301,2017-03-10
48,1489449600,183.75,189.23,183.53,188.01,819156,2017-03-14
49,1489536000,189.64,189.71,184.65,185.55,1200952,2017-03-15
50,1489622400,186.49,188.59,185.63,187.71,1106112,2017-03-16
51,1489708800,189.0,190.13,187.11,189.09,1109477,2017-03-17
52,1489968000,189.0,189.09,185.7,186.56,468985,2017-03-20
53,1490054400,184.91,188.25,184.91,186.99,743924,2017-03-21
54,1490140800,185.06,188.78,184.5,187.71,1327510,2017-03-22
55,1490227200,188.63,192.0,187.84,191.25,1865360,2017-03-23
56,1490313600,191.04,192.75,191.04,192.47,1007757,2017-03-24
57,1490572800,190.63,192.17,188.55,189.0,654089,2017-03-27
58,1490659200,189.38,191.63,188.51,190.33,415407,2017-03-28
59,1490745600,190.67,192.71,188.33,192.09,672589,2017-03-29
60,1490832000,191.53,194.51,189.9,193.48,1786290,2017-03-30
61,1490918400,192.08,194.12,191.18,193.39,1007706,2017-03-31
62,1491177600,193.67,193.69,189.62,190.16,520036,2017-04-03
63,1491350400,189.75,192.0,188.29,191.49,812852,2017-04-05
64,1491436800,190.16,193.33,189.92,193.01,997537,2017-04-06
65,1491523200,192.53,192.56,190.84,191.96,1524622,2017-04-07
66,1491782400,193.11,194.18,188.44,189.15,1724852,2017-04-10
67,1491868800,188.93,191.78,187.58,191.31,788000,2017-04-11
68,1491955200,191.14,191.19,187.24,187.78,907290,2017-04-12
69,1492041600,187.78,188.98,184.61,185.78,1209346,2017-04-13
70,1492387200,185.91,185.91,183.79,184.61,974782,2017-04-17
71,1492473600,184.13,186.66,183.98,185.25,785664,2017-04-18
72,1492560000,186.56,187.33,183.86,186.84,817933,2017-04-19
73,1492646400,186.75,189.41,186.02,187.41,628207,2017-04-20
74,1492732800,187.5,188.78,181.13,184.22,1055725,2017-04-21
75,1492992000,182.78,185.63,181.73,184.33,860920,2017-04-24
76,1493078400,185.06,187.5,183.43,185.36,1471338,2017-04-25
77,1493164800,188.63,192.19,183.23,184.07,7564254,2017-04-26
78,1493251200,185.21,186.81,183.15,186.02,2483013,2017-04-27
79,1493337600,186.38,186.64,183.77,185.34,1510833,2017-04-28
80,1493683200,186.06,186.73,185.1,185.59,696062,2017-05-02
81,1493769600,186.79,187.39,185.34,186.17,508173,2017-05-03
82,1493856000,186.43,187.99,185.21,187.48,506116,2017-05-04
83,1493942400,187.39,187.88,186.13,187.24,340364,2017-05-05
84,1494201600,187.5,189.11,186.04,188.36,625256,2017-05-08
85,1494288000,189.0,191.16,187.71,190.84,947729,2017-05-09
86,1494374400,190.28,191.31,186.99,187.37,557384,2017-05-10
