,Time,Open,High,Low,Close,Volume,Date
0,1483315200,451.4,452.0,441.25,447.75,3054394,2017-01-02
1,1483401600,449.6,457.8,443.5,455.25,4621782,2017-01-03
2,1483488000,455.0,460.0,451.95,453.1,3703873,2017-01-04
3,1483574400,454.6,463.9,453.25,458.05,5829373,2017-01-05
4,1483660800,459.7,461.8,454.05,455.2,4431212,2017-01-06
5,1483920000,456.9,459.35,451.55,452.75,2690456,2017-01-09
6,1484006400,455.5,456.05,424.4,447.35,9436151,2017-01-10
7,1484092800,451.85,457.55,448.2,453.6,5678047,2017-01-11
8,1484179200,454.2,461.4,452.6,455.2,5106342,2017-01-12
9,1484265600,457.0,475.2,455.2,472.8,12693510,2017-01-13
10,1484524800,472.5,480.5,468.3,477.25,7430300,2017-01-16
11,1484611200,477.3,488.2,476.95,487.2,11331156,2017-01-17
12,1484697600,487.15,491.7,483.25,488.5,8789347,2017-01-18
13,1484784000,486.7,487.9,479.3,483.8,7688347,2017-01-19
14,1484870400,458.0,461.4,448.0,450.75,30189779,2017-01-20
15,1485129600,445.25,448.95,441.1,445.0,16502895,2017-01-23
16,1485216000,447.8,452.55,445.3,451.25,7103963,2017-01-24
17,1485302400,452.0,465.1,452.0,463.55,14328065,2017-01-25
18,1485475200,465.25,478.85,465.25,472.85,8821164,2017-01-27
19,1485734400,472.0,476.6,470.85,471.9,4525720,2017-01-30
20,1485820800,472.0,472.0,464.3,466.0,10629001,2017-01-31
21,1485907200,467.75,479.9,460.0,475.65,8340303,2017-02-01
22,1485993600,476.25,486.0,473.35,482.55,7557596,2017-02-02
23,1486080000,483.7,492.5,480.15,490.7,7134563,2017-02-03
24,1486339200,494.75,500.2,492.0,498.3,8575116,2017-02-06
25,1486425600,498.4,499.7,490.6,493.4,5242366,2017-02-07
26,1486512000,492.4,492.7,481.85,487.6,9694192,2017-02-08
27,1486598400,491.0,494.55,482.95,485.25,7938519,2017-02-09
28,1486684800,489.75,492.5,486.2,488.9,10345868,2017-02-10
29,1486944000,492.7,493.85,486.75,490.3,6626404,2017-02-13
30,1487030400,490.3,491.45,482.1,486.9,4089031,2017-02-14
31,1487116800,488.0,493.45,483.8,488.2,6242589,2017-02-15
32,1487203200,487.7,494.35,486.55,493.15,5218900,2017-02-16
33,1487289600,501.0,504.0,487.4,489.1,12983330,2017-02-17
34,1487548800,489.4,490.65,479.65,481.05,5840632,2017-02-20
35,1487635200,481.9,509.05,481.2,504.35,16440027,2017-02-21
36,1487721600,508.5,528.05,507.8,525.3,20167381,2017-02-22
37,1487808000,525.0,530.0,518.05,528.15,10360480,2017-02-23
38,1488153600,527.9,527.9,507.3,508.95,7372140,2017-02-27
39,1488240000,509.4,512.5,504.6,506.65,5799421,2017-02-28
40,1488326400,511.0,522.0,510.15,513.4,7624002,2017-03-01
41,1488412800,515.1,519.8,503.7,506.3,7112655,2017-03-02
42,1488499200,507.25,515.0,506.25,512.9,3965255,2017-03-03
43,1488758400,514.7,520.8,512.3,518.65,6994407,2017-03-06
44,1488844800,519.0,519.9,509.25,511.8,6043543,2017-03-07
45,1488931200,504.6,512.8,500.25,510.15,8850848,2017-03-08
46,1489017600,509.6,519.55,506.5,516.4,8560015,2017-03-09
47,1489104000,519.2,520.0,513.0,515.9,5494130,2017-03-10
48,1489449600,524.9,525.65,509.55,510.9,7975713,2017-03-14
49,1489536000,514.7,515.8,509.05,511.7,6248549,2017-03-15
50,1489622400,513.0,516.8,511.3,513.65,5362177,2017-03-16
51,1489708800,515.3,519.0,511.7,517.15,20296836,2017-03-17
52,1489968000,518.0,518.25,501.3,502.85,4932998,2017-03-20
53,1490054400,498.75,500.0,486.05,488.3,11017752,2017-03-21
54,1490140800,485.0,502.4,484.0,485.45,12685275,2017-03-22
55,1490227200,487.55,492.0,483.0,488.25,6942275,2017-03-23
56,1490313600,491.0,495.7,484.85,489.35,5501203,2017-03-24
57,1490572800,488.4,493.25,483.55,487.15,5384510,2017-03-27
58,1490659200,492.3,505.0,490.05,502.8,11194711,2017-03-28
59,1490745600,506.0,513.0,500.1,504.2,12677454,2017-03-29
60,1490832000,498.95,504.0,495.0,499.25,8454772,2017-03-30
61,1490918400,499.7,503.7,488.8,490.8,6985211,2017-03-31
62,1491177600,495.7,503.7,491.35,500.6,5755303,2017-04-03
63,1491350400,503.85,510.55,498.85,508.3,6595144,2017-04-05
64,1491436800,507.7,517.65,505.15,508.7,9928098,2017-04-06
65,1491523200,507.0,514.9,502.5,504.2,5019268,2017-04-07
66,1491782400,504.65,513.0,503.35,510.75,5986936,2017-04-10
67,1491868800,509.6,516.6,508.1,515.05,7406691,2017-04-11
68,1491955200,515.3,520.4,503.25,506.0,6161411,2017-04-12
69,1492041600,506.6,511.35,502.9,507.55,6216374,2017-04-13
70,1492387200,505.55,509.05,501.25,502.35,4070932,2017-04-17
71,1492473600,505.0,508.95,498.0,499.65,5450454,2017-04-18
72,1492560000,498.25,501.45,488.25,499.5,7447021,2017-04-19
73,1492646400,496.15,504.4,487.0,488.0,8153829,2017-04-20
74,1492732800,492.0,497.0,483.3,486.25,10301245,2017-04-21
75,1492992000,487.95,503.6,481.0,498.65,14182302,2017-04-24
76,1493078400,501.0,520.15,495.1,516.4,13778124,2017-04-25
77,1493164800,519.5,525.0,508.05,517.15,11516903,2017-04-26
78,1493251200,524.0,524.0,503.25,506.6,22108735,2017-04-27
79,1493337600,508.3,515.3,504.5,509.65,9287281,2017-04-28
80,1493683200,509.5,513.1,501.6,505.55,7539462,2017-05-02
81,1493769600,506.9,507.35,500.0,500.85,7220815,2017-05-03
82,1493856000,504.95,521.8,502.0,518.85,15719994,2017-05-04
83,1493942400,522.0,522.4,502.5,504.5,9440005,2017-05-05
84,1494201600,509.0,513.7,503.3,511.2,6834456,2017-05-08
85,1494288000,513.0,521.25,510.55,518.2,7872272,2017-05-09
86,1494374400,519.0,527.55,515.7,526.35,8812464,2017-05-10
87,1494460800,525.2,534.6,513.45,516.9,8962710,2017-05-11
88,1494547200,516.7,516.85,499.2,503.0,9934430,2017-05-12
89,1494806400,505.0,508.5,498.4,500.1,8806756,2017-05-15
90,1494892800,502.1,504.5,493.5,501.5,8610492,2017-05-16
91,1494979200,501.35,506.75,498.5,502.8,6443135,2017-05-17
92,1495065600,498.0,499.1,490.25,492.0,9227022,2017-05-18
93,1495152000,495.75,503.85,494.2,501.7,7611430,2017-05-19
94,1495411200,504.0,507.45,499.5,502.3,4970982,2017-05-22
95,1495497600,502.25,506.1,495.2,500.6,7549551,2017-05-23
96,1495584000,503.0,505.0,495.0,499.3,7271148,2017-05-24
97,1495670400,502.0,509.9,495.85,507.45,9157557,2017-05-25
98,1495756800,508.0,513.0,505.0,511.45,5995136,2017-05-26
