,Time,Open,High,Low,Close,Volume,Date
0,1483315200,278.3,286.47,278.3,285.55,1359819,2017-01-02
1,1483401600,286.43,288.26,275.45,279.54,2719509,2017-01-03
2,1483488000,277.66,289.41,274.67,288.22,4779900,2017-01-04
3,1483574400,287.53,296.57,284.68,294.83,3532069,2017-01-05
4,1483660800,293.04,303.0,292.26,293.59,2198656,2017-01-06
5,1483920000,294.37,295.1,290.33,291.94,2180600,2017-01-09
6,1484006400,292.9,294.74,291.11,293.91,875657,2017-01-10
7,1484092800,294.83,298.09,292.72,296.34,2159622,2017-01-11
8,1484179200,296.99,298.73,293.82,295.47,1390462,2017-01-12
9,1484265600,296.02,298.41,290.14,294.0,2163259,2017-01-13
10,1484524800,293.82,296.94,291.34,292.53,1548856,2017-01-16
11,1484611200,292.81,293.63,291.15,292.44,1697232,2017-01-17
12,1484697600,291.98,292.72,285.78,288.22,3037110,2017-01-18
13,1484784000,288.31,296.2,285.55,291.15,2091011,2017-01-19
14,1484870400,288.35,300.7,288.35,294.32,3132053,2017-01-20
15,1485129600,294.74,295.65,289.59,293.5,1642849,2017-01-23
16,1485216000,291.98,292.9,288.91,290.6,1980731,2017-01-24
17,1485302400,280.04,288.95,280.04,285.88,12355804,2017-01-25
18,1485475200,284.91,301.16,284.91,297.26,2930227,2017-01-27
19,1485734400,296.66,339.68,295.75,317.37,19232326,2017-01-30
20,1485820800,320.49,324.12,314.98,319.71,9708524,2017-01-31
21,1485907200,317.69,321.27,312.32,316.86,3396110,2017-02-01
22,1485993600,316.77,330.36,316.08,324.39,5763623,2017-02-02
23,1486080000,324.39,332.38,323.38,324.85,2203362,2017-02-03
24,1486339200,325.04,327.74,323.8,326.18,1244955,2017-02-06
25,1486425600,325.22,329.44,322.1,324.25,3361375,2017-02-07
26,1486512000,325.95,326.73,318.52,323.38,4045204,2017-02-08
27,1486598400,323.24,327.79,322.1,326.18,1691390,2017-02-09
28,1486684800,327.79,330.91,326.0,328.29,1823756,2017-02-10
29,1486944000,324.53,330.54,324.44,328.75,3036184,2017-02-13
30,1487030400,328.25,339.63,325.95,338.76,3921765,2017-02-14
31,1487116800,339.63,342.02,330.64,335.41,3288943,2017-02-15
32,1487203200,331.74,338.72,330.82,335.78,3351417,2017-02-16
33,1487289600,336.97,341.75,332.66,339.27,2111677,2017-02-17
34,1487548800,339.86,347.99,339.86,344.64,3207565,2017-02-20
35,1487635200,341.65,346.98,330.09,333.16,5815869,2017-02-21
36,1487721600,333.21,342.02,329.72,331.46,6232224,2017-02-22
37,1487808000,340.64,368.19,333.94,336.28,32687327,2017-02-23
38,1488153600,336.97,337.38,323.7,326.6,8339160,2017-02-27
39,1488240000,327.79,342.57,327.24,335.27,11161712,2017-02-28
40,1488326400,338.39,338.67,331.88,333.07,3166416,2017-03-01
41,1488412800,334.22,336.05,323.38,327.65,3854336,2017-03-02
42,1488499200,327.65,331.92,324.39,327.01,3328013,2017-03-03
43,1488758400,330.54,334.22,327.97,331.92,2733132,2017-03-06
44,1488844800,331.46,332.79,327.19,331.55,2624317,2017-03-07
45,1488931200,330.73,334.31,329.17,331.19,2502834,2017-03-08
46,1489017600,330.41,332.29,327.47,330.73,1079265,2017-03-09
47,1489104000,331.32,336.51,330.5,335.04,1919676,2017-03-10
48,1489449600,336.05,339.54,329.26,331.55,4900034,2017-03-14
49,1489536000,330.54,336.19,327.06,333.48,6115156,2017-03-15
50,1489622400,334.22,335.69,329.72,331.14,2210151,2017-03-16
51,1489708800,331.6,333.3,315.85,318.47,5278412,2017-03-17
52,1489968000,317.69,323.47,311.49,320.81,3920645,2017-03-20
53,1490054400,320.44,323.02,316.82,321.27,2077961,2017-03-21
54,1490140800,318.61,319.99,299.14,310.53,7410810,2017-03-22
55,1490227200,311.08,313.74,308.09,310.8,3940697,2017-03-23
