,Time,Open,High,Low,Close,Volume,Date
0,1483315200,426.67,429.83,424.93,427.0,751179,2017-01-02
1,1483401600,429.33,438.67,424.4,433.7,2104923,2017-01-03
2,1483488000,433.2,440.6,427.9,436.97,1856939,2017-01-04
3,1483574400,436.33,449.63,435.33,448.47,1653666,2017-01-05
4,1483660800,447.33,454.0,441.03,443.23,1100745,2017-01-06
5,1483920000,442.83,445.1,434.0,435.4,782381,2017-01-09
6,1484006400,439.83,450.67,438.87,440.2,1308833,2017-01-10
7,1484092800,441.33,444.0,436.47,440.6,1115270,2017-01-11
8,1484179200,441.33,445.8,438.1,439.53,699395,2017-01-12
9,1484265600,443.27,443.27,434.0,438.43,790322,2017-01-13
10,1484524800,441.77,447.4,437.07,445.4,874040,2017-01-16
11,1484611200,446.63,448.3,441.37,443.3,586039,2017-01-17
12,1484697600,442.73,442.77,433.53,436.97,1404084,2017-01-18
13,1484784000,438.07,451.13,436.07,449.27,1211895,2017-01-19
14,1484870400,448.0,450.67,441.33,443.17,908789,2017-01-20
15,1485129600,441.33,454.67,441.0,451.37,1133655,2017-01-23
16,1485216000,451.33,458.8,449.13,454.93,1236998,2017-01-24
17,1485302400,457.33,478.87,451.77,474.13,2420715,2017-01-25
18,1485475200,475.33,484.53,460.87,469.83,1274167,2017-01-27
19,1485734400,470.93,472.0,463.13,469.77,650805,2017-01-30
20,1485820800,470.33,470.33,451.37,454.43,1516367,2017-01-31
21,1485907200,454.7,464.8,448.8,461.83,1228601,2017-02-01
22,1485993600,463.33,475.33,462.93,467.93,1062769,2017-02-02
23,1486080000,467.33,467.87,459.2,465.73,1088093,2017-02-03
24,1486339200,468.93,474.2,466.0,470.23,807263,2017-02-06
25,1486425600,471.8,481.97,469.37,477.77,1519319,2017-02-07
26,1486512000,479.13,484.67,476.07,480.33,1556723,2017-02-08
27,1486598400,483.33,486.0,480.7,484.57,1318859,2017-02-09
28,1486684800,488.67,488.67,474.67,477.03,1674233,2017-02-10
29,1486944000,476.67,479.27,473.37,476.37,643910,2017-02-13
30,1487030400,477.8,477.87,457.87,461.37,1210422,2017-02-14
31,1487116800,461.33,466.53,445.33,449.8,2151232,2017-02-15
32,1487203200,447.03,451.43,441.33,446.27,2284563,2017-02-16
33,1487289600,447.07,455.63,443.37,452.67,1297107,2017-02-17
34,1487548800,455.0,468.0,453.37,466.83,1298054,2017-02-20
35,1487635200,470.0,478.0,467.4,469.3,1083749,2017-02-21
36,1487721600,470.0,478.67,469.07,476.2,1645018,2017-02-22
37,1487808000,476.67,481.1,471.1,478.43,2008310,2017-02-23
38,1488153600,476.0,483.2,467.27,471.8,1457606,2017-02-27
39,1488240000,460.0,463.27,445.33,446.7,3342797,2017-02-28
40,1488326400,450.0,451.27,435.6,439.63,2436861,2017-03-01
41,1488412800,441.3,443.6,420.57,423.43,3959669,2017-03-02
42,1488499200,422.6,423.6,410.17,421.87,5260942,2017-03-03
43,1488758400,424.87,428.93,421.6,425.03,2199071,2017-03-06
44,1488844800,427.33,432.47,425.87,430.6,1535173,2017-03-07
45,1488931200,430.33,433.57,420.07,426.0,1432716,2017-03-08
46,1489017600,429.43,429.6,420.3,421.33,1402459,2017-03-09
47,1489104000,423.93,424.63,413.4,415.57,1623649,2017-03-10
48,1489449600,424.0,427.33,419.33,424.47,2081337,2017-03-14
49,1489536000,423.5,429.23,421.9,424.33,1002848,2017-03-15
50,1489622400,426.0,432.93,424.7,431.83,1249876,2017-03-16
51,1489708800,433.33,433.33,425.37,428.07,1489772,2017-03-17
52,1489968000,426.67,432.0,423.57,429.07,796163,2017-03-20
53,1490054400,428.0,432.67,422.53,427.93,1240249,2017-03-21
54,1490140800,424.43,432.33,418.7,430.0,1309438,2017-03-22
55,1490227200,436.67,440.0,432.07,436.7,2552557,2017-03-23
56,1490313600,433.33,434.67,430.07,433.13,1223445,2017-03-24
57,1490572800,433.2,435.93,427.3,428.77,1242205,2017-03-27
58,1490659200,427.67,432.27,426.67,430.63,761178,2017-03-28
59,1490745600,431.67,433.67,427.37,428.73,925277,2017-03-29
60,1490832000,428.73,431.0,425.63,427.1,2069531,2017-03-30
61,1490918400,429.33,438.67,428.03,433.23,1638919,2017-03-31
62,1491177600,432.67,433.03,424.4,425.6,672593,2017-04-03
63,1491350400,428.8,428.87,420.8,425.17,2242959,2017-04-05
64,1491436800,425.2,431.73,421.67,430.8,1228171,2017-04-06
65,1491523200,428.67,453.0,428.37,450.23,3506901,2017-04-07
66,1491782400,453.33,469.9,453.33,466.87,3440685,2017-04-10
67,1491868800,469.27,475.73,466.8,473.6,2377283,2017-04-11
68,1491955200,475.6,481.1,465.5,478.2,1459929,2017-04-12
69,1492041600,480.57,494.63,474.03,487.4,2140873,2017-04-13
70,1492387200,486.0,492.0,479.1,482.5,1029781,2017-04-17
71,1492473600,483.67,491.03,481.43,482.8,1162343,2017-04-18
72,1492560000,482.27,487.8,474.47,481.93,1220463,2017-04-19
73,1492646400,483.5,486.57,480.0,480.87,822175,2017-04-20
74,1492732800,482.97,484.9,475.47,477.2,808177,2017-04-21
75,1492992000,477.47,480.0,470.7,476.57,943944,2017-04-24
76,1493078400,478.0,494.53,478.0,492.9,1630599,2017-04-25
77,1493164800,494.6,496.6,481.67,487.83,882869,2017-04-26
78,1493251200,487.87,492.3,482.5,490.67,744763,2017-04-27
79,1493337600,492.67,493.13,477.83,479.5,891141,2017-04-28
80,1493683200,484.67,495.33,480.83,493.23,1472847,2017-05-02
81,1493769600,496.0,502.37,485.67,490.8,1649385,2017-05-03
82,1493856000,494.0,494.0,479.87,487.67,1176263,2017-05-04
83,1493942400,490.0,496.67,480.0,483.17,1706309,2017-05-05
84,1494201600,484.0,486.4,473.4,477.07,1231009,2017-05-08
85,1494288000,478.33,482.0,473.57,480.93,853585,2017-05-09
86,1494374400,485.2,486.67,480.3,485.5,1004382,2017-05-10
87,1494460800,488.17,490.27,483.33,487.1,892125,2017-05-11
88,1494547200,487.07,490.63,483.33,488.77,670969,2017-05-12
89,1494806400,489.77,490.67,482.0,485.23,559783,2017-05-15
90,1494892800,484.67,490.0,482.0,488.87,581014,2017-05-16
91,1494979200,488.6,489.33,482.33,484.97,760686,2017-05-17
92,1495065600,481.47,485.0,474.0,476.6,698494,2017-05-18
93,1495152000,476.83,481.63,466.67,468.3,713031,2017-05-19
94,1495411200,467.33,467.33,457.7,463.73,1004625,2017-05-22
95,1495497600,462.8,470.67,458.93,466.37,1195107,2017-05-23
96,1495584000,468.67,477.8,460.83,474.6,1566681,2017-05-24
97,1495670400,476.47,488.67,471.33,484.57,2372309,2017-05-25
98,1495756800,481.4,502.63,468.67,499.77,2538425,2017-05-26
99,1496016000,502.67,512.83,498.0,503.23,2858845,2017-05-29
100,1496102400,495.83,496.63,483.8,492.5,1649139,2017-05-30
101,1496188800,493.47,498.77,492.0,495.1,1464999,2017-05-31
102,1496275200,492.93,497.87,485.97,492.67,1002221,2017-06-01
103,1496361600,492.53,493.33,481.9,483.2,883413,2017-06-02
104,1496620800,483.33,491.73,482.43,485.7,897651,2017-06-05
105,1496707200,487.33,490.67,482.43,483.7,1022435,2017-06-06
106,1496793600,484.67,484.93,474.0,478.2,1910019,2017-06-07
107,1496880000,483.23,485.67,470.13,471.23,1487011,2017-06-08
108,1496966400,472.8,474.23,463.67,469.17,1297851,2017-06-09
109,1497225600,469.93,471.13,466.0,467.8,1159579,2017-06-12
110,1497312000,471.13,472.43,464.9,466.0,549177,2017-06-13
111,1497398400,466.0,466.8,459.6,461.33,1264229,2017-06-14
112,1497484800,461.33,463.33,442.33,446.93,2988810,2017-06-15
113,1497571200,451.4,455.77,447.0,449.2,3119793,2017-06-16
114,1497830400,451.33,452.47,444.0,444.77,1357786,2017-06-19
115,1497916800,445.37,447.9,441.47,443.17,1463363,2017-06-20
116,1498003200,444.67,444.67,434.1,436.27,1786173,2017-06-21
117,1498089600,434.8,436.4,424.67,427.87,2268483,2017-06-22
118,1498176000,430.0,430.7,419.07,420.5,1171905,2017-06-23
119,1498521600,419.33,419.33,399.33,408.03,6286056,2017-06-27
120,1498608000,406.67,416.4,405.77,411.13,2354800,2017-06-28
121,1498694400,411.67,422.2,411.33,417.37,3518348,2017-06-29
122,1498780800,416.03,427.53,414.9,426.27,2871645,2017-06-30
123,1499040000,426.73,434.23,426.73,432.9,2392169,2017-07-03
124,1499126400,431.8,443.33,430.63,438.13,4962424,2017-07-04
125,1499212800,438.67,442.5,437.57,441.4,1146924,2017-07-05
126,1499299200,442.6,442.67,438.33,440.03,1606605,2017-07-06
127,1499385600,440.67,446.5,439.4,442.63,2435412,2017-07-07
128,1499644800,430.13,460.8,430.13,443.1,326360,2017-07-10
129,1499731200,445.93,453.87,442.83,452.2,2495359,2017-07-11
130,1499817600,456.0,458.0,452.17,455.8,2089911,2017-07-12
131,1499904000,458.0,465.75,454.4,458.55,3875953,2017-07-13
132,1499990400,462.9,464.4,456.1,460.8,2661189,2017-07-14
133,1500249600,461.0,469.0,460.0,467.45,2040756,2017-07-17
134,1500336000,467.45,475.0,464.35,468.6,2797527,2017-07-18
135,1500422400,470.0,472.95,465.6,469.85,2545148,2017-07-19
136,1500508800,468.85,471.5,463.45,467.2,1799528,2017-07-20
