,Time,Open,High,Low,Close,Volume,Date
0,1483315200,411.5,417.0,411.15,414.25,842486,2017-01-02
1,1483401600,415.5,418.5,411.75,417.58,1437066,2017-01-03
2,1483488000,417.77,430.0,416.52,428.48,4233756,2017-01-04
3,1483574400,430.0,434.88,420.05,422.33,4157614,2017-01-05
4,1483660800,417.5,420.15,403.38,407.2,5591598,2017-01-06
5,1483920000,403.25,420.08,402.98,419.15,3839588,2017-01-09
6,1484006400,421.35,422.0,417.25,418.92,2613934,2017-01-10
7,1484092800,419.75,422.25,413.38,416.62,2766112,2017-01-11
8,1484179200,415.02,424.95,415.02,423.85,3290556,2017-01-12
9,1484265600,425.1,428.98,419.3,425.12,4573998,2017-01-13
10,1484524800,423.95,423.95,413.4,415.27,2429338,2017-01-16
11,1484611200,413.5,421.75,413.5,418.88,4099262,2017-01-17
12,1484697600,418.75,422.77,418.12,422.02,2168782,2017-01-18
13,1484784000,422.0,425.73,418.8,422.08,2112076,2017-01-19
14,1484870400,420.0,422.5,416.85,419.38,2219790,2017-01-20
15,1485129600,417.0,430.25,414.0,428.65,3969016,2017-01-23
16,1485216000,421.0,427.0,413.45,424.4,7390624,2017-01-24
17,1485302400,426.5,428.65,418.77,420.62,3855738,2017-01-25
18,1485475200,422.0,424.95,420.33,422.1,2699128,2017-01-27
19,1485734400,415.55,421.2,414.05,420.12,1899068,2017-01-30
20,1485820800,417.62,418.65,393.55,405.58,9645094,2017-01-31
21,1485907200,402.5,409.75,389.33,406.98,9033230,2017-02-01
22,1485993600,407.0,417.05,405.08,413.58,3760086,2017-02-02
23,1486080000,412.5,417.85,408.42,415.38,2257058,2017-02-03
24,1486339200,417.5,418.25,408.3,412.05,2185076,2017-02-06
25,1486425600,412.0,413.85,406.0,407.85,2605080,2017-02-07
26,1486512000,409.5,409.52,402.38,404.25,2824810,2017-02-08
27,1486598400,405.48,411.15,401.02,409.85,3130268,2017-02-09
28,1486684800,411.05,415.0,406.15,414.2,3550994,2017-02-10
29,1486944000,415.5,416.83,410.5,413.65,1209256,2017-02-13
30,1487030400,414.6,417.23,412.25,416.0,2246504,2017-02-14
31,1487116800,416.0,419.3,411.3,415.15,1995766,2017-02-15
32,1487203200,413.62,423.45,413.62,422.5,3441322,2017-02-16
33,1487289600,425.0,425.0,415.55,419.62,2079702,2017-02-17
34,1487548800,421.0,423.5,418.62,422.0,1331008,2017-02-20
35,1487635200,422.05,431.25,422.05,425.65,3074096,2017-02-21
36,1487721600,426.15,432.5,415.27,417.1,3487340,2017-02-22
37,1487808000,417.5,425.5,417.5,421.42,6776184,2017-02-23
38,1488153600,422.45,425.67,418.02,419.98,2385238,2017-02-27
39,1488240000,422.0,423.0,417.92,420.05,2286110,2017-02-28
40,1488326400,421.5,425.5,419.77,424.55,2193694,2017-03-01
41,1488412800,425.0,426.75,419.65,421.88,1735692,2017-03-02
42,1488499200,422.0,427.4,417.58,426.45,1712464,2017-03-03
43,1488758400,425.35,433.85,423.05,427.77,3084616,2017-03-06
44,1488844800,430.85,430.85,426.1,428.67,1494044,2017-03-07
45,1488931200,428.5,429.0,422.12,423.85,1458528,2017-03-08
46,1489017600,427.0,427.0,421.17,422.17,1533834,2017-03-09
47,1489104000,424.67,429.0,420.45,423.17,1412616,2017-03-10
48,1489449600,432.5,432.5,425.0,426.8,3171728,2017-03-14
49,1489536000,425.25,427.95,418.62,421.45,2478532,2017-03-15
50,1489622400,430.4,431.95,424.8,427.7,3690466,2017-03-16
51,1489708800,428.62,435.5,426.5,432.88,3987020,2017-03-17
52,1489968000,435.98,439.5,430.58,432.17,3392968,2017-03-20
53,1490054400,432.5,437.2,425.98,429.65,7366514,2017-03-21
54,1490140800,425.35,437.35,424.25,436.38,3364236,2017-03-22
55,1490227200,435.52,440.0,434.48,438.33,2848278,2017-03-23
56,1490313600,436.15,438.25,435.58,436.52,1751020,2017-03-24
57,1490572800,434.0,436.6,423.52,426.08,2353860,2017-03-27
58,1490659200,427.77,435.38,426.08,429.95,1796222,2017-03-28
59,1490745600,432.7,439.75,429.8,438.8,4242538,2017-03-29
60,1490832000,435.0,440.85,432.52,437.92,2927478,2017-03-30
61,1490918400,442.0,445.08,433.5,437.38,4314580,2017-03-31
62,1491177600,437.05,439.12,429.25,433.12,1874754,2017-04-03
63,1491350400,434.5,434.5,423.2,425.25,3578706,2017-04-05
64,1491436800,424.0,428.27,423.5,426.75,2089810,2017-04-06
65,1491523200,426.95,429.3,423.45,424.65,2059774,2017-04-07
66,1491782400,424.5,428.75,415.5,416.52,1485086,2017-04-10
67,1491868800,417.5,419.0,413.0,416.9,2620546,2017-04-11
68,1491955200,415.67,417.48,413.5,415.83,1311888,2017-04-12
69,1492041600,416.25,416.25,402.7,404.55,2293364,2017-04-13
70,1492387200,400.08,408.75,400.08,405.4,1404094,2017-04-17
71,1492473600,406.0,409.98,402.0,404.02,2028564,2017-04-18
72,1492560000,403.25,409.77,401.98,404.3,2636200,2017-04-19
73,1492646400,405.38,407.95,404.3,407.45,1079608,2017-04-20
74,1492732800,408.5,410.73,403.9,406.38,1780310,2017-04-21
75,1492992000,406.5,412.0,404.62,409.77,1373968,2017-04-24
76,1493078400,412.0,412.92,406.8,409.98,2194602,2017-04-25
77,1493164800,410.95,411.0,398.27,400.12,1918248,2017-04-26
78,1493251200,398.5,410.0,398.1,404.85,5640334,2017-04-27
79,1493337600,406.45,410.0,399.88,407.05,2794138,2017-04-28
80,1493683200,408.08,412.73,405.85,411.02,1722732,2017-05-02
81,1493769600,412.48,418.75,410.5,417.55,1989864,2017-05-03
82,1493856000,418.05,421.3,404.08,409.0,2758496,2017-05-04
83,1493942400,410.48,416.0,407.15,414.8,1856816,2017-05-05
84,1494201600,414.92,422.5,412.85,420.1,1581634,2017-05-08
85,1494288000,422.5,427.42,419.98,424.88,1814522,2017-05-09
86,1494374400,424.38,425.45,419.05,421.8,1515412,2017-05-10
87,1494460800,428.9,429.4,417.8,419.35,7029834,2017-05-11
88,1494547200,420.0,424.1,419.52,423.83,3295402,2017-05-12
89,1494806400,424.25,425.0,422.5,424.27,1375146,2017-05-15
90,1494892800,425.0,428.05,424.02,424.8,5948804,2017-05-16
91,1494979200,426.0,427.65,421.1,426.77,2747118,2017-05-17
92,1495065600,425.42,436.12,422.12,424.2,7317362,2017-05-18
93,1495152000,426.5,427.25,422.05,422.35,2896062,2017-05-19
94,1495411200,425.0,431.12,424.0,428.73,5784538,2017-05-22
95,1495497600,431.5,435.4,429.58,432.45,6427042,2017-05-23
96,1495584000,427.45,428.98,420.0,427.42,4033036,2017-05-24
97,1495670400,430.12,433.75,426.3,429.8,5896078,2017-05-25
98,1495756800,428.85,433.0,427.73,429.55,2604830,2017-05-26
99,1496016000,429.45,436.0,425.73,432.23,3686630,2017-05-29
100,1496102400,432.23,435.98,426.48,434.08,2826830,2017-05-30
101,1496188800,432.05,434.65,429.12,432.12,5747114,2017-05-31
102,1496275200,431.5,435.5,429.58,431.12,1843166,2017-06-01
103,1496361600,431.4,434.85,426.85,428.95,2223574,2017-06-02
104,1496620800,428.0,433.45,428.0,429.35,2816618,2017-06-05
105,1496707200,437.75,454.8,433.05,444.73,13253770,2017-06-06
106,1496793600,446.67,447.45,432.27,440.25,6733948,2017-06-07
107,1496880000,440.0,440.2,432.5,434.17,2830620,2017-06-08
108,1496966400,433.27,436.45,428.3,430.38,2701028,2017-06-09
109,1497225600,431.4,434.33,426.02,432.77,2065426,2017-06-12
110,1497312000,431.0,432.45,421.15,423.58,2487790,2017-06-13
111,1497398400,424.75,428.02,420.5,426.83,1801536,2017-06-14
112,1497484800,426.5,426.5,420.75,422.2,3547290,2017-06-15
113,1497571200,421.0,423.5,417.5,419.5,3824660,2017-06-16
114,1497830400,419.75,422.95,415.15,421.25,1690856,2017-06-19
115,1497916800,422.5,427.52,421.5,427.12,2082258,2017-06-20
116,1498003200,427.0,427.0,419.05,421.73,1819308,2017-06-21
117,1498089600,424.5,427.0,418.1,424.58,2895584,2017-06-22
118,1498176000,425.0,429.0,421.17,425.92,2161888,2017-06-23
119,1498521600,426.0,429.5,416.6,420.1,2184790,2017-06-27
120,1498608000,419.25,428.62,416.65,424.2,2476764,2017-06-28
121,1498694400,425.95,428.5,421.25,423.8,2984220,2017-06-29
122,1498780800,424.23,427.98,419.2,425.45,2257114,2017-06-30
123,1499040000,426.0,426.98,416.15,419.08,3953676,2017-07-03
124,1499126400,424.2,424.98,419.0,420.77,1981500,2017-07-04
125,1499212800,419.5,420.6,417.55,418.75,2420508,2017-07-05
126,1499299200,420.0,421.2,417.85,420.33,1373060,2017-07-06
127,1499385600,420.25,420.25,414.4,415.95,2303234,2017-07-07
128,1499644800,417.0,428.42,415.05,424.83,468588,2017-07-10
129,1499731200,422.83,434.5,422.83,425.33,2993400,2017-07-11
130,1499817600,425.05,429.25,423.02,427.0,1205956,2017-07-12
131,1499904000,428.05,431.95,427.75,429.3,1912818,2017-07-13
132,1499990400,430.0,430.2,422.52,425.17,1288116,2017-07-14
133,1500249600,424.5,435.0,421.95,434.05,1818014,2017-07-17
134,1500336000,434.55,442.15,434.17,440.35,1977378,2017-07-18
135,1500422400,442.5,449.8,442.5,447.7,2912888,2017-07-19
136,1500508800,449.5,449.5,441.2,442.83,1613768,2017-07-20
137,1500595200,442.0,454.0,442.0,452.48,2483620,2017-07-21
138,1500854400,452.48,456.0,450.6,453.7,3004440,2017-07-24
139,1500940800,451.0,452.45,443.0,447.52,3584666,2017-07-25
140,1501027200,446.5,451.75,442.0,446.35,3023714,2017-07-26
141,1501113600,451.5,464.0,442.67,445.12,9319652,2017-07-27
142,1501200000,444.0,448.45,420.5,446.55,3042762,2017-07-28
143,1501459200,444.0,449.0,439.23,446.45,1894566,2017-07-31
144,1501545600,444.5,449.0,439.0,442.1,2664554,2017-08-01
145,1501632000,444.0,446.5,438.45,441.0,1658180,2017-08-02
146,1501718400,441.1,442.2,435.48,437.88,2544010,2017-08-03
147,1501804800,437.5,447.25,436.55,445.33,1141420,2017-08-04
148,1502064000,445.0,447.35,440.7,443.0,1646970,2017-08-07
149,1502150400,441.3,442.7,438.05,441.0,1731896,2017-08-08
150,1502236800,435.5,442.33,435.5,439.38,1071692,2017-08-09
151,1502323200,436.52,443.0,435.4,441.45,1693074,2017-08-10
152,1502409600,439.05,444.6,432.27,436.15,3384860,2017-08-11
153,1502668800,436.5,439.2,428.02,430.05,808098,2017-08-14
154,1502841600,432.0,434.33,425.5,432.25,2250010,2017-08-16
155,1502928000,436.2,437.55,430.38,435.7,1602350,2017-08-17
156,1503014400,436.92,442.35,431.77,438.12,2129910,2017-08-18
157,1503273600,438.88,442.5,435.1,437.02,1339674,2017-08-21
158,1503360000,440.5,443.12,436.65,437.92,1506462,2017-08-22
159,1503446400,438.95,441.48,431.5,440.0,1509778,2017-08-23
160,1503532800,442.0,442.0,433.0,433.75,1624246,2017-08-24
161,1503878400,434.15,437.27,428.92,433.83,1792508,2017-08-28
162,1503964800,434.0,434.8,425.0,426.27,1945588,2017-08-29
163,1504051200,428.5,429.0,421.62,424.6,3387850,2017-08-30
164,1504137600,425.0,435.2,420.1,432.65,5019082,2017-08-31
165,1504224000,431.8,442.5,427.5,432.88,1600518,2017-09-01
166,1504483200,436.95,436.95,428.5,430.3,1149942,2017-09-04
167,1504569600,429.0,431.25,424.2,429.95,1095614,2017-09-05
168,1504656000,431.5,436.0,423.1,425.52,1658772,2017-09-06
169,1504742400,428.7,431.85,425.62,429.65,2949318,2017-09-07
170,1504828800,433.45,434.75,428.05,429.75,2320104,2017-09-08
171,1505088000,431.0,433.65,426.0,430.35,1439608,2017-09-11
172,1505174400,433.5,433.5,428.08,432.02,1698738,2017-09-12
173,1505260800,432.0,437.5,430.85,435.65,2237308,2017-09-13
174,1505347200,438.0,441.02,435.65,440.4,2327652,2017-09-14
175,1505433600,440.9,446.67,434.15,443.52,3502380,2017-09-15
176,1505692800,445.0,449.25,444.5,448.67,1361938,2017-09-18
177,1505779200,449.0,449.0,444.62,446.83,1095726,2017-09-19
178,1505865600,447.5,448.33,442.5,444.73,1792966,2017-09-20
179,1505952000,445.4,447.0,434.52,435.15,5197522,2017-09-21
180,1506038400,435.0,445.0,434.8,442.23,6281534,2017-09-22
181,1506297600,440.0,442.0,435.05,437.02,3550896,2017-09-25
