,Time,Open,High,Low,Close,Volume,Date
0,1483315200,137.54,139.29,137.0,137.33,3152186,2017-01-02
1,1483401600,137.42,138.54,136.88,137.88,2448502,2017-01-03
2,1483488000,137.54,139.58,136.96,137.38,3729337,2017-01-04
3,1483574400,136.71,138.58,136.71,137.5,6652961,2017-01-05
4,1483660800,137.54,138.58,136.33,136.67,4947444,2017-01-06
5,1483920000,136.67,136.92,134.25,135.88,4569656,2017-01-09
6,1484006400,136.12,136.5,134.75,135.25,2423820,2017-01-10
7,1484092800,135.83,137.33,134.88,137.08,2763604,2017-01-11
8,1484179200,137.5,145.29,137.08,144.75,12138550,2017-01-12
9,1484265600,145.75,145.83,142.21,142.5,6432948,2017-01-13
10,1484524800,141.12,144.29,140.83,142.21,5560534,2017-01-16
11,1484611200,142.75,146.83,141.88,146.42,7873126,2017-01-17
12,1484697600,146.67,146.88,143.33,143.96,6211531,2017-01-18
13,1484784000,144.17,145.83,143.12,145.12,7877225,2017-01-19
14,1484870400,144.75,145.08,141.5,142.04,4372643,2017-01-20
15,1485129600,141.67,143.71,141.0,141.33,4522696,2017-01-23
16,1485216000,141.42,145.17,141.42,143.62,7209641,2017-01-24
17,1485302400,143.79,144.58,142.04,142.79,13115185,2017-01-25
18,1485475200,142.92,148.54,142.83,147.92,6091372,2017-01-27
19,1485734400,147.38,148.25,145.42,146.42,5516524,2017-01-30
20,1485820800,146.67,148.08,143.12,143.62,7441196,2017-01-31
21,1485907200,143.88,144.42,141.08,142.42,10397134,2017-02-01
22,1485993600,143.92,146.67,143.12,143.79,7142465,2017-02-02
23,1486080000,143.75,144.71,142.88,143.29,4129434,2017-02-03
24,1486339200,143.75,145.75,143.42,144.67,6082885,2017-02-06
25,1486425600,144.0,146.25,143.62,144.17,6618922,2017-02-07
26,1486512000,145.33,146.04,141.88,143.25,10220056,2017-02-08
27,1486598400,143.25,144.96,139.5,140.17,7504140,2017-02-09
28,1486684800,141.04,143.04,140.54,141.96,4783242,2017-02-10
29,1486944000,142.46,144.25,142.46,143.75,7380872,2017-02-13
30,1487030400,144.08,144.08,141.58,142.38,5174098,2017-02-14
31,1487116800,140.62,142.17,140.25,140.88,4591172,2017-02-15
32,1487203200,141.25,142.38,140.92,141.92,4049570,2017-02-16
33,1487289600,142.25,142.46,140.71,141.46,3268471,2017-02-17
34,1487548800,141.67,143.83,141.25,143.17,7358423,2017-02-20
35,1487635200,143.29,144.21,142.12,143.75,2167004,2017-02-21
36,1487721600,144.88,145.0,138.29,138.92,8138627,2017-02-22
37,1487808000,139.5,139.5,136.71,137.92,8046589,2017-02-23
38,1488153600,138.46,138.71,136.33,137.83,8850588,2017-02-27
39,1488240000,138.33,138.46,135.21,135.79,16850186,2017-02-28
40,1488326400,136.21,136.92,132.5,133.29,11781904,2017-03-01
41,1488412800,134.08,134.08,129.38,129.96,16388160,2017-03-02
42,1488499200,129.96,131.0,128.92,130.08,9776837,2017-03-03
43,1488758400,130.75,132.5,130.08,132.0,5028422,2017-03-06
44,1488844800,133.33,133.38,130.83,131.17,4820226,2017-03-07
45,1488931200,131.33,132.12,130.21,130.92,3653135,2017-03-08
46,1489017600,130.54,132.71,129.67,131.92,5600350,2017-03-09
47,1489104000,131.96,132.88,130.33,130.92,2902393,2017-03-10
48,1489449600,133.71,134.12,131.75,133.0,5506806,2017-03-14
49,1489536000,132.92,133.33,131.92,132.21,3038297,2017-03-15
50,1489622400,132.88,134.58,132.54,134.38,3935551,2017-03-16
51,1489708800,134.75,134.88,132.29,133.29,7716467,2017-03-17
52,1489968000,132.58,134.88,132.58,134.5,2691794,2017-03-20
53,1490054400,134.54,135.46,133.33,135.12,3637201,2017-03-21
54,1490140800,134.42,135.0,133.54,133.96,2992012,2017-03-22
55,1490227200,134.5,137.33,134.25,137.0,6384274,2017-03-23
56,1490313600,137.38,137.96,136.25,137.17,4581845,2017-03-24
57,1490572800,136.67,137.46,135.83,136.12,3264932,2017-03-27
58,1490659200,136.75,137.79,136.58,137.42,1686947,2017-03-28
59,1490745600,138.29,138.29,136.17,136.62,4597850,2017-03-29
60,1490832000,136.71,137.92,135.5,135.92,9615726,2017-03-30
61,1490918400,136.33,138.96,135.92,138.33,3814360,2017-03-31
62,1491177600,138.33,139.42,136.71,137.21,3542816,2017-04-03
63,1491350400,138.25,140.0,137.25,138.75,6131202,2017-04-05
64,1491436800,138.75,140.04,137.5,139.75,5319376,2017-04-06
65,1491523200,139.17,141.08,138.33,140.21,7405475,2017-04-07
66,1491782400,140.04,140.79,137.71,138.96,2686148,2017-04-10
67,1491868800,139.21,139.92,136.08,139.17,17414233,2017-04-11
68,1491955200,139.5,140.21,136.92,137.46,8425531,2017-04-12
69,1492041600,137.5,137.88,136.83,137.21,4090751,2017-04-13
70,1492387200,137.25,137.5,132.0,132.75,9580728,2017-04-17
71,1492473600,133.75,136.21,133.33,134.75,5073410,2017-04-18
72,1492560000,134.75,138.25,134.25,137.42,5434806,2017-04-19
73,1492646400,137.33,137.42,136.0,136.42,2381107,2017-04-20
74,1492732800,136.71,139.58,136.62,139.33,9538297,2017-04-21
75,1492992000,139.33,140.38,138.12,138.79,2517797,2017-04-24
76,1493078400,139.12,139.17,136.29,137.88,3704083,2017-04-25
77,1493164800,137.88,138.71,137.0,138.0,4119194,2017-04-26
78,1493251200,137.71,138.71,135.83,136.75,4868335,2017-04-27
79,1493337600,136.67,137.67,136.17,137.08,3063996,2017-04-28
80,1493683200,137.21,138.0,134.42,135.08,4025983,2017-05-02
81,1493769600,135.83,137.12,134.46,135.08,3870368,2017-05-03
82,1493856000,135.5,136.12,135.12,135.54,3344888,2017-05-04
83,1493942400,135.29,135.33,132.88,133.08,2507921,2017-05-05
84,1494201600,132.83,134.46,132.83,133.83,3692730,2017-05-08
85,1494288000,134.46,134.62,133.21,134.38,3186599,2017-05-09
86,1494374400,134.46,135.79,134.33,135.17,2730601,2017-05-10
87,1494460800,135.25,135.38,133.12,133.54,4567667,2017-05-11
88,1494547200,133.38,134.67,131.67,132.38,2748128,2017-05-12
89,1494806400,132.5,133.33,131.5,133.12,2060881,2017-05-15
90,1494892800,133.12,134.08,132.83,133.29,5617327,2017-05-16
91,1494979200,133.75,134.83,132.08,132.42,8423958,2017-05-17
