,Time,Open,High,Low,Close,Volume,Date
0,1483315200,191.8,193.0,191.35,192.25,2690448,2017-01-02
1,1483401600,193.4,193.75,191.15,192.5,4764310,2017-01-03
2,1483488000,193.5,196.75,192.1,194.8,7507779,2017-01-04
3,1483574400,195.3,200.25,195.3,199.65,6831388,2017-01-05
4,1483660800,200.0,206.95,200.0,202.55,8399536,2017-01-06
5,1483920000,203.95,204.95,197.1,198.0,4783989,2017-01-09
6,1484006400,198.9,203.0,197.7,198.45,6865373,2017-01-10
7,1484092800,198.6,200.0,197.3,197.65,3657809,2017-01-11
8,1484179200,198.5,201.7,198.5,199.55,7180398,2017-01-12
9,1484265600,203.0,203.95,200.05,201.3,7173268,2017-01-13
10,1484524800,201.0,201.8,198.05,198.35,4070898,2017-01-16
11,1484611200,199.0,199.65,193.0,194.8,4631529,2017-01-17
12,1484697600,195.5,198.4,193.75,198.0,9444964,2017-01-18
13,1484784000,197.85,201.45,196.85,200.85,11378619,2017-01-19
14,1484870400,200.85,202.0,195.45,197.3,7834336,2017-01-20
15,1485129600,197.3,201.8,197.3,199.9,5350419,2017-01-23
16,1485216000,201.15,202.2,199.35,201.6,3600754,2017-01-24
17,1485302400,201.95,205.7,201.95,204.9,11413512,2017-01-25
18,1485475200,206.0,208.0,203.15,204.5,5089894,2017-01-27
19,1485734400,204.5,205.45,200.8,201.85,4594038,2017-01-30
20,1485820800,210.0,211.8,201.0,202.55,39669868,2017-01-31
21,1485907200,203.0,205.0,199.5,200.2,11271144,2017-02-01
22,1485993600,201.0,204.5,200.4,200.85,8549969,2017-02-02
23,1486080000,201.7,203.2,200.55,200.95,4940894,2017-02-03
24,1486339200,202.8,202.85,198.75,199.0,5926274,2017-02-06
25,1486425600,198.0,199.5,192.65,193.3,10805646,2017-02-07
26,1486512000,194.0,196.0,192.55,194.4,7106853,2017-02-08
27,1486598400,195.45,196.2,192.45,192.9,6092204,2017-02-09
28,1486684800,194.0,195.45,193.1,193.65,6287846,2017-02-10
29,1486944000,194.3,194.5,190.8,192.25,4083916,2017-02-13
30,1487030400,193.0,196.2,191.85,195.7,7785934,2017-02-14
31,1487116800,195.9,197.8,194.15,194.95,5793110,2017-02-15
32,1487203200,196.05,196.3,193.75,194.1,3343438,2017-02-16
33,1487289600,195.0,195.2,193.5,194.4,3230898,2017-02-17
34,1487548800,194.7,196.2,192.25,195.3,8954741,2017-02-20
35,1487635200,195.75,196.75,194.5,196.25,3280290,2017-02-21
36,1487721600,198.0,198.5,195.1,195.6,5671343,2017-02-22
37,1487808000,195.9,197.6,194.35,196.0,20504597,2017-02-23
38,1488153600,197.0,198.0,193.8,194.7,7881156,2017-02-27
39,1488240000,197.1,197.3,192.65,193.55,10367585,2017-02-28
40,1488326400,196.7,196.7,193.4,193.85,11243767,2017-03-01
41,1488412800,194.8,194.9,192.15,192.7,6978509,2017-03-02
42,1488499200,192.35,193.5,191.6,193.05,4294857,2017-03-03
43,1488758400,193.5,194.75,193.0,193.8,3847930,2017-03-06
44,1488844800,194.0,196.95,193.5,196.4,7768654,2017-03-07
45,1488931200,197.0,197.2,192.3,192.95,6553289,2017-03-08
46,1489017600,191.5,191.7,189.1,189.65,6323875,2017-03-09
47,1489104000,189.7,192.45,188.3,191.6,7822853,2017-03-10
48,1489449600,194.6,194.6,191.5,191.9,8850096,2017-03-14
49,1489536000,191.3,192.95,190.5,190.7,4219974,2017-03-15
50,1489622400,193.0,193.6,191.25,191.8,6732778,2017-03-16
51,1489708800,192.0,192.4,189.45,190.0,7462534,2017-03-17
52,1489968000,190.05,191.7,189.7,190.85,5070076,2017-03-20
53,1490054400,191.0,194.45,191.0,194.05,6715278,2017-03-21
54,1490140800,192.5,193.9,191.0,192.5,4960436,2017-03-22
55,1490227200,193.55,194.5,192.75,193.6,4208188,2017-03-23
56,1490313600,193.35,193.4,191.35,191.9,9289757,2017-03-24
57,1490572800,191.8,192.0,188.5,188.9,4780041,2017-03-27
58,1490659200,189.7,190.0,186.3,186.9,9790503,2017-03-28
59,1490745600,187.9,188.1,186.4,186.95,9676087,2017-03-29
60,1490832000,187.05,188.25,183.0,183.9,14882692,2017-03-30
61,1490918400,184.9,186.3,184.2,185.0,8217678,2017-03-31
62,1491177600,185.2,186.35,184.8,185.8,4802523,2017-04-03
63,1491350400,186.35,186.7,184.75,186.25,6772865,2017-04-05
64,1491436800,186.0,188.1,185.2,187.55,7216198,2017-04-06
65,1491523200,187.75,188.45,185.65,186.4,8049423,2017-04-07
66,1491782400,187.3,187.75,186.2,186.45,3953031,2017-04-10
67,1491868800,187.6,188.4,186.85,187.85,7982429,2017-04-11
68,1491955200,188.05,188.7,185.75,186.7,4050669,2017-04-12
69,1492041600,187.0,187.3,184.35,184.8,3338347,2017-04-13
70,1492387200,185.4,185.4,182.5,183.1,3070001,2017-04-17
71,1492473600,183.35,184.4,180.5,180.95,3358340,2017-04-18
72,1492560000,181.0,181.95,179.2,179.85,4198156,2017-04-19
73,1492646400,181.15,183.4,178.5,179.1,9102962,2017-04-20
74,1492732800,180.1,182.05,179.7,180.25,4117134,2017-04-21
75,1492992000,180.5,182.2,180.5,181.45,4311732,2017-04-24
76,1493078400,182.4,182.45,180.45,181.5,5784684,2017-04-25
77,1493164800,181.6,181.8,179.8,180.1,4850265,2017-04-26
78,1493251200,180.7,180.8,178.3,179.1,7471812,2017-04-27
79,1493337600,180.0,187.15,179.4,186.55,10789077,2017-04-28
80,1493683200,188.0,193.9,187.65,192.4,17143827,2017-05-02
81,1493769600,193.95,194.75,190.65,191.1,6245067,2017-05-03
82,1493856000,192.0,192.45,188.4,188.9,4432281,2017-05-04
83,1493942400,188.5,188.6,182.25,183.8,8117137,2017-05-05
84,1494201600,184.6,188.2,184.0,185.95,5592129,2017-05-08
