,Time,Open,High,Low,Close,Volume,Date
0,1506988800,735.0,740.0,701.7,707.55,35367877,2017-10-03
1,1507075200,710.15,710.75,699.0,703.65,3613280,2017-10-04
2,1507161600,704.55,704.55,686.1,694.55,2680742,2017-10-05
3,1507248000,693.9,702.0,689.0,696.75,1416485,2017-10-06
4,1507507200,694.1,702.5,694.1,698.65,951473,2017-10-09
5,1507593600,698.35,701.2,695.55,700.0,555002,2017-10-10
6,1507680000,700.0,703.0,686.0,689.9,1077409,2017-10-11
7,1507766400,691.1,694.0,685.0,687.7,439314,2017-10-12
8,1507852800,688.95,695.05,680.0,689.7,1344510,2017-10-13
9,1508112000,686.0,689.45,669.0,670.1,971834,2017-10-16
10,1508198400,670.5,674.0,669.0,673.05,664335,2017-10-17
11,1508284800,671.0,672.85,664.15,668.4,415712,2017-10-18
12,1508371200,666.1,678.25,666.1,675.1,93358,2017-10-19
13,1508716800,670.0,673.8,665.0,665.8,292330,2017-10-23
14,1508803200,663.8,671.45,663.0,665.85,350373,2017-10-24
15,1508889600,667.0,673.45,658.1,669.9,583868,2017-10-25
16,1508976000,669.9,669.9,660.5,666.85,242175,2017-10-26
17,1509062400,663.2,666.05,659.0,662.2,396395,2017-10-27
18,1509321600,665.0,665.0,649.9,655.0,1164020,2017-10-30
19,1509408000,655.8,669.0,655.8,662.1,1402840,2017-10-31
20,1509494400,664.0,664.85,642.25,647.05,859011,2017-11-01
21,1509580800,647.05,653.6,641.2,642.75,574130,2017-11-02
22,1509667200,643.05,653.5,641.1,642.25,672547,2017-11-03
23,1509926400,642.65,659.9,642.65,656.75,483071,2017-11-06
24,1510012800,659.0,659.0,639.55,642.35,763293,2017-11-07
25,1510099200,649.0,649.0,629.0,631.6,843603,2017-11-08
26,1510185600,633.0,670.4,633.0,657.95,356798,2017-11-09
27,1510272000,655.1,679.2,655.1,676.55,784443,2017-11-10
28,1510531200,665.0,680.8,663.0,665.0,192279,2017-11-13
29,1510617600,655.2,667.75,654.0,660.0,350594,2017-11-14
30,1510704000,650.1,660.05,644.4,649.35,269314,2017-11-15
31,1510790400,648.6,659.2,642.8,649.9,261879,2017-11-16
32,1510876800,653.0,663.7,645.1,659.55,3200674,2017-11-17
33,1511136000,657.3,665.0,656.5,661.45,712433,2017-11-20
