,Time,Open,High,Low,Close,Volume,Date
0,1483315200,633.0,640.35,627.0,634.05,2266225,2017-01-02
1,1483401600,637.0,641.95,631.85,636.1,2821892,2017-01-03
2,1483488000,638.0,643.8,634.8,637.35,2500456,2017-01-04
3,1483574400,646.1,647.9,641.5,643.45,2589560,2017-01-05
4,1483660800,648.1,649.75,639.45,640.75,1864378,2017-01-06
5,1483920000,641.1,646.9,631.0,632.05,1827405,2017-01-09
6,1484006400,635.0,639.9,627.1,638.55,2559697,2017-01-10
7,1484092800,640.0,649.55,639.3,648.2,2784843,2017-01-11
8,1484179200,629.0,646.9,629.0,644.75,6269913,2017-01-12
9,1484265600,647.0,657.4,642.45,653.0,3524996,2017-01-13
10,1484524800,651.0,654.9,642.2,643.5,1349694,2017-01-16
11,1484611200,645.0,652.7,644.45,649.7,3016496,2017-01-17
12,1484697600,649.0,654.0,644.5,649.95,4013631,2017-01-18
13,1484784000,647.0,653.7,641.1,643.45,2089653,2017-01-19
14,1484870400,642.85,647.4,640.0,641.55,3671360,2017-01-20
15,1485129600,640.0,645.25,632.5,633.65,2955807,2017-01-23
16,1485216000,636.0,644.5,636.0,641.4,2187797,2017-01-24
17,1485302400,644.0,646.7,634.2,635.85,3068071,2017-01-25
18,1485475200,638.3,643.0,633.8,640.5,2362371,2017-01-27
19,1485734400,640.05,654.9,639.0,644.75,2406083,2017-01-30
20,1485820800,644.5,649.0,630.0,631.5,1926978,2017-01-31
21,1485907200,631.0,637.45,618.4,625.55,3507275,2017-02-01
22,1485993600,626.2,644.7,620.0,641.4,3819377,2017-02-02
23,1486080000,644.5,649.8,640.25,647.25,2048060,2017-02-03
24,1486339200,650.0,677.3,645.0,675.15,5835962,2017-02-06
25,1486425600,675.0,689.55,667.2,669.6,4274151,2017-02-07
26,1486512000,668.65,677.0,659.2,662.2,2959209,2017-02-08
27,1486598400,665.0,669.0,653.35,655.5,3295494,2017-02-09
28,1486684800,655.5,662.1,650.1,655.05,2814314,2017-02-10
29,1486944000,656.5,659.45,648.0,654.7,1885766,2017-02-13
30,1487030400,659.0,662.85,640.9,649.3,3393607,2017-02-14
31,1487116800,650.2,651.75,621.5,623.05,10352763,2017-02-15
32,1487203200,624.0,652.0,623.45,649.3,6158072,2017-02-16
33,1487289600,653.5,677.95,649.1,675.5,6165104,2017-02-17
34,1487548800,678.0,686.4,672.5,679.65,4597889,2017-02-20
35,1487635200,681.7,685.0,670.1,673.2,2972142,2017-02-21
36,1487721600,674.0,675.4,662.75,670.35,2662258,2017-02-22
37,1487808000,673.9,681.3,667.05,674.55,4522397,2017-02-23
38,1488153600,674.1,685.5,671.1,674.45,3477074,2017-02-27
39,1488240000,675.0,682.3,675.0,679.0,2711558,2017-02-28
40,1488326400,681.1,697.4,679.0,694.65,4972108,2017-03-01
41,1488412800,700.0,701.3,672.9,676.15,4783045,2017-03-02
42,1488499200,672.0,688.45,671.1,686.45,2495214,2017-03-03
43,1488758400,684.0,684.5,675.1,683.0,2858145,2017-03-06
44,1488844800,683.6,684.85,675.25,679.65,2152337,2017-03-07
45,1488931200,675.0,688.85,673.0,680.4,3480865,2017-03-08
46,1489017600,680.35,686.0,676.1,685.15,2408830,2017-03-09
47,1489104000,680.05,691.1,680.0,682.95,1987748,2017-03-10
48,1489449600,693.5,729.05,677.1,708.2,9857280,2017-03-14
49,1489536000,713.0,717.45,704.25,705.85,3046871,2017-03-15
50,1489622400,711.0,719.5,707.1,710.8,3087300,2017-03-16
51,1489708800,715.0,716.4,702.0,707.5,3067000,2017-03-17
52,1489968000,709.0,711.0,704.5,706.55,1418664,2017-03-20
53,1490054400,704.0,705.9,684.15,698.05,3691911,2017-03-21
54,1490140800,694.0,703.0,690.85,701.45,2414239,2017-03-22
55,1490227200,704.0,705.0,699.25,703.15,1294418,2017-03-23
56,1490313600,703.5,709.65,700.2,703.9,1357525,2017-03-24
57,1490572800,701.0,703.35,689.5,691.2,1859318,2017-03-27
58,1490659200,694.8,702.55,693.7,698.6,1626424,2017-03-28
59,1490745600,701.0,701.4,685.0,687.65,5152744,2017-03-29
60,1490832000,689.8,694.05,685.2,687.05,2558208,2017-03-30
61,1490918400,685.2,694.05,684.6,688.15,2898457,2017-03-31
62,1491177600,688.75,693.8,685.1,692.4,1347390,2017-04-03
63,1491350400,694.5,696.7,686.5,690.7,1977427,2017-04-05
64,1491436800,692.95,692.95,683.15,686.9,2015425,2017-04-06
65,1491523200,684.9,684.9,662.2,665.95,6076717,2017-04-07
66,1491782400,667.0,669.9,661.2,667.75,2138613,2017-04-10
67,1491868800,668.05,673.0,666.1,670.4,1344759,2017-04-11
68,1491955200,672.75,689.5,663.4,683.25,2653626,2017-04-12
69,1492041600,688.5,699.85,681.5,692.75,2918733,2017-04-13
70,1492387200,682.0,683.0,670.3,677.05,2411262,2017-04-17
71,1492473600,677.95,679.5,663.95,665.15,1734258,2017-04-18
72,1492560000,668.95,676.0,661.4,663.35,2241129,2017-04-19
73,1492646400,666.0,667.7,655.05,655.95,2071407,2017-04-20
74,1492732800,659.45,659.45,636.6,639.6,6091210,2017-04-21
75,1492992000,635.0,645.25,632.05,642.85,4428981,2017-04-24
76,1493078400,645.25,649.0,639.9,642.55,1825996,2017-04-25
77,1493164800,643.0,646.5,635.1,642.8,1915462,2017-04-26
78,1493251200,645.0,646.0,632.75,637.0,2432744,2017-04-27
79,1493337600,637.25,644.2,637.25,641.95,1903299,2017-04-28
80,1493683200,642.4,644.25,627.5,632.8,2415773,2017-05-02
81,1493769600,631.0,635.45,624.0,628.85,3807210,2017-05-03
82,1493856000,628.0,637.2,623.6,631.5,3150744,2017-05-04
83,1493942400,630.0,638.0,626.0,630.2,2538263,2017-05-05
84,1494201600,630.95,639.8,626.7,637.15,1544639,2017-05-08
85,1494288000,638.0,642.3,630.45,640.3,1589995,2017-05-09
86,1494374400,642.05,646.6,637.35,642.8,1381364,2017-05-10
87,1494460800,644.85,649.9,640.15,648.45,1674209,2017-05-11
88,1494547200,650.0,656.7,643.85,655.1,1992719,2017-05-12
89,1494806400,655.4,656.85,649.5,654.45,1224004,2017-05-15
90,1494892800,655.0,656.55,648.0,652.35,2325051,2017-05-16
91,1494979200,652.1,653.0,644.1,650.9,1920624,2017-05-17
92,1495065600,648.7,655.25,643.45,653.95,2149513,2017-05-18
93,1495152000,655.5,656.95,646.7,653.15,2223401,2017-05-19
94,1495411200,654.0,654.0,636.3,640.15,3156574,2017-05-22
95,1495497600,628.0,630.85,589.1,614.1,11623535,2017-05-23
96,1495584000,615.95,616.3,599.5,603.5,3751856,2017-05-24
97,1495670400,609.05,609.3,582.35,591.55,7237706,2017-05-25
98,1495756800,590.6,597.85,564.0,567.65,10814562,2017-05-26
99,1496016000,529.0,529.0,492.65,502.6,42138319,2017-05-29
100,1496102400,502.0,510.55,502.0,508.0,10937265,2017-05-30
101,1496188800,512.0,512.05,499.75,501.6,14794419,2017-05-31
102,1496275200,502.1,523.95,502.1,507.45,14169918,2017-06-01
103,1496361600,515.0,517.95,508.0,514.85,7715676,2017-06-02
104,1496620800,520.0,522.0,511.65,512.8,5257958,2017-06-05
105,1496707200,516.0,516.35,503.0,504.3,4813209,2017-06-06
106,1496793600,508.9,515.75,504.8,511.55,4217463,2017-06-07
107,1496880000,514.0,534.6,511.6,528.85,10616075,2017-06-08
108,1496966400,530.0,533.85,521.7,524.7,4635649,2017-06-09
109,1497225600,525.0,540.9,521.9,532.55,7634053,2017-06-12
110,1497312000,551.15,552.0,536.2,537.2,9578458,2017-06-13
111,1497398400,540.0,541.0,532.6,539.55,3182248,2017-06-14
112,1497484800,540.75,549.35,536.85,544.0,4179924,2017-06-15
113,1497571200,547.9,547.95,526.0,529.15,4986232,2017-06-16
114,1497830400,533.0,533.95,521.55,524.85,4118410,2017-06-19
115,1497916800,526.1,533.8,519.75,523.8,4464038,2017-06-20
116,1498003200,528.0,535.0,523.2,528.0,4257922,2017-06-21
117,1498089600,529.5,539.95,529.0,538.7,5201690,2017-06-22
118,1498176000,538.0,545.5,537.0,543.8,3920128,2017-06-23
119,1498521600,547.0,549.4,537.25,544.05,4675855,2017-06-27
120,1498608000,543.8,548.15,538.0,545.45,5278948,2017-06-28
121,1498694400,546.0,546.5,534.1,536.9,6060935,2017-06-29
122,1498780800,538.8,560.95,538.0,555.7,6561625,2017-06-30
123,1499040000,556.0,558.2,548.75,552.0,1580045,2017-07-03
124,1499126400,556.0,556.7,545.7,552.45,1980453,2017-07-04
125,1499212800,552.55,560.6,548.75,550.65,3121863,2017-07-05
126,1499299200,550.85,552.5,543.45,545.6,4155333,2017-07-06
127,1499385600,546.0,552.25,545.0,549.0,4482328,2017-07-07
128,1499644800,570.6,576.2,550.0,563.7,1032613,2017-07-10
129,1499731200,565.0,571.9,562.1,563.8,2824262,2017-07-11
130,1499817600,566.0,567.0,560.0,562.4,1383094,2017-07-12
131,1499904000,560.05,571.6,560.05,569.3,4364882,2017-07-13
132,1499990400,568.9,578.95,568.5,572.55,3111057,2017-07-14
133,1500249600,575.0,577.75,567.5,571.45,1878995,2017-07-17
134,1500336000,569.9,583.0,569.0,578.25,1868904,2017-07-18
135,1500422400,584.0,590.25,583.0,589.15,1772229,2017-07-19
136,1500508800,591.5,591.5,580.0,582.05,1054118,2017-07-20
137,1500595200,582.7,586.4,575.0,575.95,2584036,2017-07-21
138,1500854400,577.0,577.9,569.35,570.8,1496356,2017-07-24
139,1500940800,571.05,573.35,563.5,565.9,2272849,2017-07-25
140,1501027200,568.5,580.3,566.5,579.5,1896905,2017-07-26
141,1501113600,580.0,582.2,567.5,572.1,5119717,2017-07-27
142,1501200000,569.0,569.85,549.0,550.8,4094196,2017-07-28
143,1501459200,553.0,553.7,528.9,531.65,5404990,2017-07-31
144,1501545600,531.65,541.9,530.05,533.8,3699349,2017-08-01
145,1501632000,537.0,537.3,521.75,523.55,3483902,2017-08-02
146,1501718400,527.0,530.0,514.0,515.85,4531774,2017-08-03
147,1501804800,513.7,513.8,492.65,506.4,7344699,2017-08-04
148,1502064000,508.9,513.15,504.25,505.55,2279879,2017-08-07
149,1502150400,509.0,509.0,498.0,500.35,3042569,2017-08-08
150,1502236800,488.5,493.5,471.35,474.35,11025555,2017-08-09
151,1502323200,470.5,485.45,451.05,460.8,10149400,2017-08-10
152,1502409600,458.0,462.95,444.6,450.0,7851424,2017-08-11
153,1502668800,433.0,476.95,432.7,471.8,20846332,2017-08-14
154,1502841600,478.0,486.7,467.7,485.7,7588306,2017-08-16
155,1502928000,485.7,490.4,480.55,488.25,4484873,2017-08-17
156,1503014400,485.0,485.0,467.2,470.15,4513543,2017-08-18
157,1503273600,475.4,475.4,459.4,460.55,4215469,2017-08-21
158,1503360000,464.0,472.5,461.8,470.45,3797497,2017-08-22
159,1503446400,473.95,475.95,467.6,469.2,3682870,2017-08-23
160,1503532800,471.9,488.45,469.5,483.0,5680084,2017-08-24
161,1503878400,488.8,499.9,483.25,493.2,6388051,2017-08-28
162,1503964800,491.95,491.95,479.65,481.8,2605383,2017-08-29
163,1504051200,484.0,488.95,481.45,484.25,2523480,2017-08-30
164,1504137600,487.15,487.35,476.65,481.15,4398132,2017-08-31
165,1504224000,481.0,492.0,480.8,486.2,3998817,2017-09-01
166,1504483200,484.0,509.7,478.15,500.7,4489406,2017-09-04
167,1504569600,503.0,504.55,490.1,491.85,5266455,2017-09-05
168,1504656000,486.95,486.95,473.0,474.25,7344173,2017-09-06
169,1504742400,477.0,483.5,474.25,480.45,2916205,2017-09-07
170,1504828800,478.95,484.3,467.25,471.35,3557040,2017-09-08
171,1505088000,474.5,476.4,466.2,467.45,3437220,2017-09-11
172,1505174400,475.0,485.55,470.5,483.4,5892218,2017-09-12
173,1505260800,484.0,510.5,479.9,503.35,11440036,2017-09-13
174,1505347200,520.0,527.15,513.6,524.65,10997664,2017-09-14
175,1505433600,518.2,527.95,514.1,524.3,7483452,2017-09-15
176,1505692800,525.0,527.0,511.0,521.05,3689242,2017-09-18
177,1505779200,523.8,529.4,511.6,515.8,4355599,2017-09-19
178,1505865600,518.8,519.4,503.6,505.5,5024973,2017-09-20
179,1505952000,508.5,525.0,505.0,519.65,10217874,2017-09-21
180,1506038400,518.95,528.5,508.7,513.85,7990848,2017-09-22
181,1506297600,512.0,514.55,501.5,505.95,4345197,2017-09-25
182,1506384000,506.0,515.0,505.15,507.6,3615167,2017-09-26
183,1506470400,503.95,503.95,489.5,494.7,7594880,2017-09-27
184,1506556800,494.7,507.0,493.5,499.2,5557091,2017-09-28
185,1506643200,500.25,506.0,498.25,503.25,3478824,2017-09-29
186,1506988800,509.0,509.6,500.15,502.65,2880625,2017-10-03
187,1507075200,504.1,522.0,502.0,517.9,6203591,2017-10-04
188,1507161600,519.0,525.0,512.0,513.8,3576059,2017-10-05
189,1507248000,518.0,533.0,515.8,530.2,6323391,2017-10-06
190,1507507200,527.8,536.95,521.6,531.4,5049020,2017-10-09
191,1507593600,531.9,535.0,526.1,527.2,2244596,2017-10-10
192,1507680000,530.8,533.15,521.15,526.05,4031497,2017-10-11
193,1507766400,543.0,545.0,532.0,539.55,8970339,2017-10-12
194,1507852800,541.25,543.1,533.0,534.7,3819414,2017-10-13
195,1508112000,538.4,549.9,533.8,547.95,5322443,2017-10-16
196,1508198400,546.9,554.0,544.55,547.2,4477156,2017-10-17
197,1508284800,549.35,549.4,538.85,540.2,3499930,2017-10-18
198,1508371200,540.2,543.0,532.0,535.75,434929,2017-10-19
199,1508716800,536.05,543.5,533.3,540.4,2878772,2017-10-23
200,1508803200,537.5,539.0,533.5,534.55,1940555,2017-10-24
201,1508889600,534.9,539.0,522.25,523.25,2055745,2017-10-25
202,1508976000,525.4,538.9,519.0,530.15,3566575,2017-10-26
203,1509062400,532.5,557.9,532.5,549.9,8848376,2017-10-27
204,1509321600,552.1,557.3,544.1,553.1,5360570,2017-10-30
205,1509408000,553.0,558.7,545.9,552.9,2907328,2017-10-31
206,1509494400,553.05,555.9,546.4,548.7,3304676,2017-11-01
