,Time,Open,High,Low,Close,Volume,Date
0,1483315200,494.5,496.9,486.5,488.0,1203138,2017-01-02
1,1483401600,488.7,495.0,487.2,491.55,1006546,2017-01-03
2,1483488000,490.0,504.5,488.55,500.6,1989140,2017-01-04
3,1483574400,505.0,507.0,485.95,488.1,2295824,2017-01-05
4,1483660800,487.5,487.9,466.2,469.75,3307502,2017-01-06
5,1483920000,465.05,477.9,462.0,473.45,1812454,2017-01-09
6,1484006400,474.35,475.0,467.65,473.5,1634891,2017-01-10
7,1484092800,473.3,478.45,469.0,474.05,2058634,2017-01-11
8,1484179200,475.0,486.8,472.2,481.2,1970093,2017-01-12
9,1484265600,484.2,492.9,481.9,488.5,2754723,2017-01-13
10,1484524800,488.25,490.55,479.0,487.15,1258527,2017-01-16
11,1484611200,488.0,495.0,484.7,486.75,1233813,2017-01-17
12,1484697600,488.0,494.9,481.5,483.65,1336551,2017-01-18
13,1484784000,480.0,485.25,477.45,481.4,1586512,2017-01-19
14,1484870400,476.0,484.0,466.0,468.65,1442119,2017-01-20
15,1485129600,465.0,471.8,460.8,469.7,1400660,2017-01-23
16,1485216000,471.4,473.5,465.4,469.9,1255925,2017-01-24
17,1485302400,470.25,473.75,462.2,465.65,3368794,2017-01-25
18,1485475200,465.4,470.6,463.2,467.1,1795089,2017-01-27
19,1485734400,467.0,478.0,461.2,471.6,3024028,2017-01-30
20,1485820800,484.7,484.7,425.5,452.2,7804620,2017-01-31
21,1485907200,452.25,457.0,436.45,449.7,4061099,2017-02-01
22,1485993600,449.7,465.0,440.0,461.1,3771089,2017-02-02
23,1486080000,464.1,482.0,464.1,480.45,2677019,2017-02-03
24,1486339200,481.05,488.6,471.2,477.5,2105323,2017-02-06
25,1486425600,480.0,480.0,469.1,470.85,1794349,2017-02-07
26,1486512000,470.0,483.75,468.8,474.6,1754215,2017-02-08
27,1486598400,477.9,486.75,474.5,485.0,3013021,2017-02-09
28,1486684800,490.0,503.5,486.0,499.9,7225481,2017-02-10
29,1486944000,500.0,504.7,495.5,499.65,1903851,2017-02-13
